heat#lane#name#nationality#time
4#4#kieren perkins#australia#14:58.34
5#4#erik vendt#united states#15:05.11
6#4#grant hackett#australia#15:07.50
6#5#ryk neethling#south africa#15:09.12
4#3#alexei filipets#russia#15:10.94
5#5#chris thompson#united states#15:11.21
5#6#heiko hell#germany#15:11.91
4#5#igor chervynskiy#ukraine#15:12.30
6#6#dragoș coman#romania#15:12.64
6#2#christian minotti#italy#15:12.72
6#1#nicolas rostoucher#france#15:13.26
4#2#frederik hviid#spain#15:14.37
5#2#masato hirano#japan#15:14.43
5#3#igor snitko#ukraine#15:14.67
3#5#ricardo monasterio#venezuela#15:17.00
6#8#yota arase#japan#15:18.20
6#7#paul palmer#great britain#15:21.09
4#1#luiz lima#brazil#15:23.15
6#3#emiliano brembilla#italy#15:27.65
3#4#dmitry koptur#belarus#15:29.62
3#3#spyridon gianniotis#greece#15:29.69
4#7#alexey kovrigin#russia#15:30.69
4#6#andrew hurd#canada#15:30.98
5#8#teo edo#spain#15:32.01
5#1#hannes kalteis#austria#15:32.90
1#4#vlastimil burda#czech republic#15:33.25
4#8#tim peterson#canada#15:34.94
3#8#torwai sethsothorn#thailand#15:39.60
5#7#adam faulkner#great britain#15:39.86
3#1#petar stoychev#bulgaria#15:42.76
3#2#jorge carral armella#mexico#15:43.03
3#7#jin hao#china#15:48.49
3#6#cho sung - mo#south korea#15:50.45
2#3#juan carlos piccio#philippines#15:51.57
2#6#agustín fiorilli#argentina#15:52.69
2#5#dieung manggang#malaysia#16:02.11
2#4#jonathan duncan#new zealand#16:03.41
2#7#steven chandra#indonesia#16:10.98
2#2#diego mularoni#san marino#16:12.91
1#5#li yun - lun#chinese taipei#16:13.05
1#3#ivan ivanov#kyrgyzstan#dsq
