end of fiscal year#gross debt in billions undeflated treas#as % of gdp low - high#debt held by public (billions)#as % of gdp (treas / mw , omb or omb / mw)#gdp billions omb / bea est = mwcom
1910#2.653#8.0#2.653#8.0#est 32.8
1920#25.95#29.2#25.95#29.2#est 88.6
1927#18.51#19.2#18.51#19.2#est 96.5
1930#16.19#16.6#16.19#16.6#est 97.4
1940#42.97#44.4 - 52.4#42.97#42.1#96.8 /
1950#257.3#91.2 - 94.2#219.0#80.2#273.1 / 281.7
1960#286.3#54.6 - 56.0#236.8#45.6#518.9 / 523.9
1970#370.9#36.2 - 37.6#283.2#28.0#1013 / 1026
1980#907.7#33.4#711.9#26.1#2724
1990#3233#56.0 - 56.4#2412#42.1#5735
2000#5674#57.4 - 57.8#3410#34.7#9821
2001#5807#56.4 - 56.8#3320#32.5#10225
2002#6228#58.8 - 59.0#3540#33.6#10544
2003#6783#61.6 - 61.8#3913#35.6#10980
2004#7379#63.0 - 63.2#4296#36.8#11686
2005#7933#63.6 - 63.8#4592#36.9#12446
2006#8507#63.8 - 64.2#4829#36.5#13255
2007#9008#64.4 - 64.8#5035#36.2#13896
2008#10025#69.2 - 69.6#5803#40.2#14439 / 14394
2009#11910#83.4 - 84.4#7552#53.6#14237 / 14098
2010#13562#93.4#9023#62.2#14512
