res#record#opponent#method#event#round#location
loss#9 - 17 - 1#choi mu - bae#decision (unanimous)#pancrase - changing tour 3#2#tokyo , japan
loss#9 - 16 - 1#lee sang - soo#tko (punches)#deep - gladiator#1#okayama , japan
loss#9 - 15 - 1#jessie gibbs#tko (knees and punches)#m - 1 global#1#tokyo , japan
loss#9 - 14 - 1#akhmet sultanov#submission (armbar)#m - 1 - challenge 2008 selections#1#st petersburg , russia
loss#9 - 13 - 1#yasuhito namekawa#decision (majority)#deep - 32 impact#2#tokyo , japan
win#9 - 12 - 1#yuji sakuragi#decision (majority)#deep - glove#2#tokyo , japan
loss#8 - 12 - 1#jyunpei hamada#decision (split)#mars 6 - rapid fire#2#yokohama , japan
loss#8 - 11 - 1#elvis sinosic#submission (armbar)#x - plosion - x - plosion#1#australia
loss#8 - 10 - 1#igor vovchanchyn#ko#pride - bushido 5#1#osaka , japan
win#8 - 9 - 1#jin o kim#submission (rear naked choke)#pride - bushido 3#1#yokohama , japan
win#7 - 9 - 1#hiroya takada#decision (majority)#pancrase - 2002 anniversary show#3#yokohama , japan
loss#6 - 9 - 1#mikhail ilyukhin#submission (guillotine choke)#pc - premium challenge#1#tokyo , japan
win#6 - 8 - 1#mike thomas#submission (knee bar)#tf - tropical fights 3#1#tahiti
loss#5 - 8 - 1#hirotaka yokoi#decision (unanimous)#rings - world title series grand final#3#yokohama , japan
loss#5 - 7 - 1#kazuo takahashi#tko (punches)#pancrase - proof 7#1#yokohama , japan
win#5 - 6 - 1#osami shibuya#decision (unanimous)#pancrase - 2001 anniversary show#3#kanagawa , japan
win#4 - 6 - 1#jason delucia#tko (knee injury)#pancrase - 2001 anniversary show#1#kanagawa , japan
loss#3 - 6 - 1#antônio rogério nogueira#technical submission (armbar)#deep - 2nd impact#1#yokohama , japan
draw#3 - 4 - 1#jason delucia#draw#pancrase - trans 7#1#tokyo , japan
win#3 - 4#johnny huskey#submission (keylock)#pancrase - trans 6#1#tokyo , japan
loss#2 - 4#kenichi yamamoto#submission (kneebar)#ufc 23#1#tokyo , japan
win#2 - 3#masutatsu yano#tko (punches)#ufc 23#2#tokyo , japan
loss#1 - 3#kohei sato#tko (punches)#shooto - renaxis 2#1#tokyo , japan
win#1 - 2#daniel quonian#tko (punches)#shooto - reconquista 2#1#tokyo , japan
loss#0 - 2#david paaluhi#tko (punches)#sb 2 - superbrawl 2#1#hawaii , united states
loss#0 - 1#ryuta sakurai#decision#lumax cup - tournament of j '96#2#japan
