year#mens singles#womens singles#mens doubles#womens doubles#mixed doubles
1985#jeliazko valkov#diana koleva#ilko orechov nanko ertchopov#diana koleva zlatka valkanova#jeliazko valkov dobrinka peneva
1986#jeliazko valkov#diana koleva#jeliazko valkov dinko dukov#diana koleva petia borisova#ilko okreshkov elena velinova
1987#stanimir boitchinov#diana koleva#jeliazko valkov dinko dukov#diana koleva diana filipova#jeliazko valkov gabriela spasova
1988#jeliazko valkov#diana koleva#jeliazko valkov dinko dukov#diana koleva emilia dimitrova#jeliazko valkov irina dimitrova
1989#stanimir boitchinov#diana koleva#jeliazko valkov dinko dukov#diana koleva emilia dimitrova#jeliazko valkov diana filipova
1990#stoyan ivantchev#diana koleva#slantcezar tzankov anatoliy skripko#diana koleva emilia dimitrova#anatoliy skripko diana filipova
1991#stoyan ivantchev#victoria hristova#stoyan ivantchev anatoliy skripko#diana koleva emilia dimitrova#jeliazko valkov emilia dimitrova
1992#jassen borissov#diana koleva#jeliazko valkov sibin atanasov#diana koleva diana filipova#slantchezar tzankov diana filipova
1993#todor velkov#dimitrinka dimitrova#boris kesov anatoliy skripko#victoria hristova nelly nedjalkova#svetoslav stoyanov emilia dimitrova
1994#mihail popov#victoria hristova#svetoslav stoyanov mihail popov#raina tzvetkova emilia dimitrova#svetoslav stoyanov raina tzvetkova
1995#todor velkov#neli nedialkova#svetoslav stoyanov mihail popov#raina tzvetkoa victoria hristova#svetoslav stoyanov raina tzvetkova
1996#mihail popov#victoria hristova#svetoslav stoyanov mihail popov#victoria hristova neli nedialkova#svetoslav stoyanov raina tzvetkova
1997#boris kessov#raina tzvetkova#svetoslav stoyanov mihail popov#victoria hristova dobrinka smilianova#svetoslav stoyanov raina tzvetkova
1998#mihail popov#victoria hristova#svetoslav stoyanov mihail popov#victoria hristova raina tzvetkova#svetoslav stoyanov raina tzvetkova
1999#boris kessov#neli boteva#boris kessov tzvetozar kolev#raina tzvetkova petya nedelcheva#konstantin dobrev petya nedelcheva
2000#luben panov#petya nedelcheva#konstantin dobrev luben panov#petya nedelcheva neli boteva#konstantin dobrev petya nedelcheva
2001#konstantin dobrev#petya nedelcheva#konstantin dobrev luben panov#petya nedelcheva maya ivanova#konstantin dobrev petya nedelcheva
2002#boris kessov#petya nedelcheva#konstantin dobrev georgi petrov#petya nedelcheva nely boteva#boris kessov nely boteva
2003#georgi petrov#nely boteva#julian hristov boris kessov#petya nedelcheva diana koleva#julian hristov diana dimova
2004#yulian hristov#petya nedelcheva#stilian makarski bladimir metodiev#petya nedelcheva nely boteva#vladimir metodiev petya nedelcheva
2005#kostantin dobrev#petya nedelcheva#konstantin dobrev georgi petrov#petya nedelcheva maya lvanova#vladimir metodiev petya nedelcheva
2006#georgi petrov#petya nedelcheva#georgi petrov blagovest kisiov#petya nedelcheva diana dimova#vladimir metodiev petya nedelcheva
2007#georgi petrov#petya nedelcheva#vladimir metodiev stilian makarski#petya nedelcheva diana dimova#vladimir metodiev diana dimova
2008#stilian makarski#petya nedelcheva#vladimir metodiev krasimir yankov#petya nedelcheva diana dimova#stilian makarski diana dimova
2009#krasimir yankov#petya nedelcheva#vladimir metodiev krasimir yankov#petya nedelcheva dimitria popstoykova#stilian makarski diana dimova
2010#stilian makarski#petya nedelcheva#stilian makarski peyo boichinov#petya nedelcheva diana dimova#stilian makarski diana dimova
2011#peyo boichinov#petya nedelcheva#stilian makarski peyo boichinov#petya nedelcheva diana dimova#stilian makarski diana dimova
