position#pilot#country#glider#points
1#sebastian kawa#poland#diana sailplanes - diana 2#30
2#uli schwenk#germany#schempp - hirth flugzeugbau gmbh - ventus 2ax#25
2#ben flewett#new zealand#alexander schleicher gmbh & co - asw 27#25
4#steve jones#united kingdom#schempp - hirth flugzeugbau gmbh - ventus 2ax#24
5#petr krejcirik#czech republic#schempp - hirth flugzeugbau gmbh - ventus 2ax#17
5#michael sommer#germany#alexander schleicher gmbh & co - asg 29#17
7#mario kiessling#germany#schempp - hirth flugzeugbau gmbh - ventus 2ax#15
8#bruce taylor#australia#alexander schleicher gmbh & co - asw 27#14
8#giorgio galetto#italy#schempp - hirth flugzeugbau gmbh - ventus 2ax#14
10#peter harvey#united kingdom#alexander schleicher gmbh & co - asw 27#13
11#mark holliday#south africa#alexander schleicher gmbh & co - asw 27#10
12#christophe ruch#france#schempp - hirth flugzeugbau gmbh - ventus 2a#9
13#erwin sommer#germany#schempp - hirth flugzeugbau gmbh - ventus 2ax#7
14#herbert weiss#germany#alexander schleicher gmbh & co - asg 29#4
15#didier hauss#france#schempp - hirth flugzeugbau gmbh - ventus 2cxt#3
15#oscar goudriaan#south africa#schempp - hirth flugzeugbau gmbh - ventus#3
17#vladimir panafutin#russia#rolladen - schneider flugzeugbau gmbh - ls6c#0
17#tim mcallister#usa#schempp - hirth flugzeugbau gmbh - ventus c#0
