res#record#opponent#method#event#round#time#location
loss#20 - 10 - 1 (2)#andrei arlovski#decision (unanimous)#wsof 5#3#5:00#atlantic city , new jersey , united states
win#20 - 9 - 1 (2)#travis wiuff#ko (punch)#cfa 11: kyle vs wiuff 2#1#0:21#coral gables , florida , united states
loss#19 - 9 - 1 (2)#gegard mousasi#submission (rear naked choke)#strikeforce : marquardt vs saffiedine#1#4:09#oklahoma city , oklahoma , united states
nc#19 - 8 - 1 (2)#rafael cavalcante#nc (banned substance)#strikeforce : barnett vs cormier#1#0:33#san jose , california , united states
win#19 - 8 - 1 (1)#marcos rogerio de lima#decision (unanimous)#strikeforce : barnett vs kharitonov#3#5:00#cincinnati , ohio , united states
loss#18 - 8 - 1 (1)#antonio silva#ko (punches)#strikeforce : henderson vs babalu ii#2#2:49#st louis , missouri , united states
win#18 - 7 - 1 (1)#steve oliver#tko (punches)#xtreme mma australia 3#1#n / a#sydney , australia
win#17 - 7 - 1 (1)#abongo humphrey#submission (rear - naked choke)#strikeforce challengers 9#2#3:28#everett , washington , united states
win#16 - 7 - 1 (1)#tony lopez#decision (split)#kotc : honor#5#5:00#new mexico , united states
win#15 - 7 - 1 (1)#jon murphy#ko (punches and elbows)#kotc : legacy#2#4:53#nevada , united states
nc#14 - 7 - 1 (1)#travis wiuff#nc (punch after the bell)#kotc : vengeance#2#5:00#new mexico , united states
win#14 - 7 - 1#jeremy freitag#tko (punches)#xtreme mma australia 1#3#4:51#sydney , australia
loss#13 - 7 - 1#fabricio werdum#submission (guillotine choke)#strikeforce : carano vs cyborg#1#1:24#san jose , california , united states
win#13 - 6 - 1#rafael cavalcante#ko (punches)#strikeforce : lawler vs shields#2#4:05#st louis , missouri united states
win#12 - 6 - 1#mychal clark#decision (unanimous)#jg / tkt promotions : fighting 4 kidz#3#5:00#california , united states
win#11 - 6 - 1#rudy martin#ko (punches)#ifc : caged combat#1#0:41#idaho , united states
loss#10 - 6 - 1#wayne cole#submission (armbar)#strikeforce : shamrock vs le#1#0:45#san jose , california , united states
loss#10 - 5 - 1#brian olsen#dq (illegal strikes)#wec 20#1#3:45#california , united states
draw#10 - 4 - 1#krzysztof soszynski#technical draw#strikeforce : shamrock vs gracie#1#2:02#california , united states
loss#10 - 4#devin cole#tko (punches)#wec 18#2#2:56#california , united states
win#10 - 3#tsuyoshi kohsaka#technical decision (unanimous)#pancrase : spiral 8#3#1:17#yokohama , japan
win#9 - 3#james irvin#ko (punch)#ufc 51#1#1:55#nevada , united states
loss#8 - 3#justin eilers#ko (punch)#ufc 49#1#1:14#nevada , united states
win#8 - 2#wes sims#ko (punch)#ufc 47#1#4:59#nevada , united states
win#7 - 2#jude hargett#ko (punches)#wec 9#1#4:09#california , united states
win#6 - 2#dan chase#ko (injury)#king of the rockies#1#0:12#colorado , united states
win#5 - 2#jason reed#submission (punches)#ifc : battleground boise#1#1:52#idaho , united states
win#4 - 2#jerry vrbanovic#ko (punches)#wec 8#1#0:12#california , united states
loss#3 - 2#paul buentello#ko (punches)#kotc 18: sudden impact#2#1:24#nevada , united states
loss#3 - 1#dan bobish#submission (punches)#kotc 13: revolution#1#3:25#nevada , united states
win#3 - 0#nate russak#submission (punches)#gladiator challenge 9#1#2:39#california , united states
win#2 - 0#kauai kupihea#ko (punches)#night of the knockout 2#2#n / a#idaho , united states
win#1 - 0#andrew boyle#tko (punches)#night of the knockout 1#1#1:30#idaho , united states
