year#competition#venue#position#event#notes
1992#world junior championships#seoul , south korea#6th#100 m#10.57
1993#world championships#stuttgart , germany#5th (quarterfinals)#100 m#10.32 , pb
1993#world championships#stuttgart , germany#6th#4 100 m relay#38.78
1994#european championships#helsinki , finland#6th#100 m#10.40 , sb
1995#world indoors#barcelona , spain#5th#60 m#6.59 , pb
1995#world championships#gothenburg , sweden#7th (quarterfinals)#100 m#10.40
1995#world championships#gothenburg , sweden#5th (heats)#200 m#20.86 , pb
1996#european indoors#stockholm , sweden#1st#60 m#6.62
1996#summer olympics#atlanta , united states#6th (quarterfinals)#100 m#10.33
1996#summer olympics#atlanta , united states#n / a#4 100 m relay#dnf
1997#world indoors#paris , france#2nd (heats)#60 m#6.67
1998#european championships#budapest , hungary#5th#4 100 m relay#39.09 , sb
1998#world cup#johannesburg , south africa#7th#100 m#10.30 , sb
1998#world cup#johannesburg , south africa#7th#4 100 m relay#38.89
1999#world indoors#maebashi , japan#11th#60 m#6.59
1999#world championships#seville , spain#4th (heats)#4 100 m relay#38.84
2000#european indoors#ghent , belgium#= 11th#60 m#6.74
2000#summer olympics#sydney , australia#= 36th#100 m#10.42
2002#european indoors#vienna , austria#10th#60 m#6.70
2002#european indoors#vienna , austria#n / a#200 m#dnf
2002#european championships#munich , germany#12th#100 m#10.38
2002#european championships#munich , germany#3rd#4 100 m relay#38.88
2002#world cup#madrid , spain#7th#100 m#10.46
2002#world cup#madrid , spain#-#4 100 m relay#dsq
2003#world championships#paris , france#n / a#4 100 m relay#dnf
2005#european indoors#madrid , spain#10th#60 m#6.71
2005#world championships#helsinki , finland#7th#4 100 m relay#38.48 , sb
