round#pick#player#position#school / club team
1#11#pat harlow#offensive tackle#southern california
1#14#leonard russell#running back#arizona state
2#41#jerome henderson#defensive back#clemson
3#56#calvin stephens#guard#south carolina
4#84#scott zolak#quarterback#maryland
5#112#jon vaughn#running back#michigan
5#124#ben coates#tight end#livingstone
6#140#david key#defensive back#michigan
7#168#blake miller#center#louisiana state
8#196#harry colon#defensive back#missouri
9#224#o'neil glenn#guard#maryland
10#251#randy bethel#tight end#miami (fl)
11#279#vince moore#wide receiver#tennessee
11#303#paul alsbury#punter#texas state
12#307#tim edwards#defensive tackle#delta state
