no#player#height#position#year born#current club
4#pau gasol#2.13#center#1980#memphis grizzlies
5#rudy fernández#1.96#guard#1985#dkv joventut
6#carlos cabezas#1.86#guard#1980#unicaja málaga
7#juan carlos navarro#1.92#guard#1980#memphis grizzlies
8#josé calderón#1.91#guard#1981#toronto raptors
9#felipe reyes#2.06#center#1980#real madrid
10#carlos jiménez#2.05#forward#1976#unicaja málaga
11#sergio rodríguez#1.91#guard#1986#portland trail blazers
12#berni rodríguez#1.97#guard#1980#unicaja málaga
13#marc gasol#2.16#center#1985#akasvayu girona
14#àlex mumbrú#2.02#forward#1979#real madrid
