week#date#opponent#score#result#attendance#record
1#june 27#toronto argonauts#23 - 16#loss#26155#0 - 1
2#july 4#montreal alouettes#38 - 24#loss#20202#0 - 2
3#july 11#bc lions#42 - 24#loss#26735#0 - 3
4#july 18#bc lions#27 - 18#loss#37174#0 - 4
5#july 24#calgary stampeders#32 - 28#win#26882#1 - 4
6#aug 1#toronto argonauts#19 - 11#loss#28523#1 - 5
7#aug 8#montreal alouettes#39 - 11#loss#27674#1 - 6
8#aug 14#hamilton tiger - cats#37 - 24#win#25484#2 - 6
9#-#-#-#-#-#2 - 6
10#aug 31#saskatchewan roughriders#19 - 6#loss#30985#2 - 7
11#sept 7#saskatchewan roughriders#34 - 31#loss#29770#2 - 8
12#sept 12#toronto argonauts#39 - 9#win#28453#3 - 8
13#sept 19#hamilton tiger - cats#25 - 23#win#19102#4 - 8
14#sept 26#edmonton eskimos#30 - 23#win#29794#5 - 8
15#oct 4#edmonton eskimos#36 - 22#loss#40453#5 - 9
16#oct 10#toronto argonauts#25 - 16#win#27368#6 - 9
17#oct 18#calgary stampeders#37 - 16#loss#30110#6 - 10
18#oct 26#montreal alouettes#24 - 23#win#20202#7 - 10
19#nov 1#hamilton tiger - cats#44 - 30#win#24595#8 - 10
