club#played#drawn#lost#points for#points against#tries for#tries against#try bonus#losing bonus#points
club#played#drawn#lost#points for#points against#tries for#tries against#try bonus#losing bonus#points
corus (port talbot) rfc#22#1#4#598#391#73#40#9#3#82
narberth rfc#22#0#5#623#440#81#49#10#3#81
carmarthen athletic rfc#22#0#8#478#359#60#36#6#5#67
llangennech rfc#22#0#9#455#434#51#48#4#4#60
whitland rfc#22#1#9#387#403#36#47#1#2#53
bridgend athletic rfc#22#1#12#461#455#52#54#7#6#51
uwic rfc#22#1#12#442#465#52#54#6#5#49
llanharan rfc#22#1#12#436#447#50#54#4#7#49
tondu rfc#22#0#13#444#460#50#47#3#8#47
waunarlwydd rfc#22#1#14#467#572#54#71#6#8#44
bonymaen rfc#22#0#14#373#472#40#54#2#6#40
ammanford rfc#22#2#16#349#615#35#80#4#7#31
