region#date#label#format#catalog
world#july 8 , 2008#dgc#digital download#
argentina#july 8 , 2008#dgc#cd#1775441
australia#july 8 , 2008#dgc#cd#1775441
canada#july 8 , 2008#dgc#cd#b001150702
united states#july 8 , 2008#dgc#cd#b0011507 - 02
united states#july 8 , 2008#dgc#lp#b0011630 - 01
united kingdom#july 8 , 2008#dgc#cd#b001150702
united kingdom#july 8 , 2008#xl#cd#xlcd369
united kingdom#july 8 , 2008#xl#lp#xllp 369
europe#july 8 , 2008#xl#lp#xllp 369
europe#july 8 , 2008#xl#cd#xlcd369
