game#date#team#score#high points#high rebounds#high assists#location attendance#record
19#december 2#sacramento#w 99 - 94 (ot)#kyle korver (15)#paul millsap , mehmet okur (11)#deron williams (7)#arco arena 10798#12 - 7
20#december 3#miami#l 89 - 93 (ot)#paul millsap (20)#paul millsap (13)#deron williams (5)#energysolutions arena 19911#12 - 8
21#december 5#toronto#w 114 - 87 (ot)#mehmet okur (21)#paul millsap (11)#paul millsap (7)#energysolutions arena 19911#13 - 8
22#december 6#phoenix#l 104 - 106 (ot)#c j miles , paul millsap (20)#mehmet okur (13)#deron williams (15)#us airways center 18422#13 - 9
23#december 9#minnesota#w 99 - 96 (ot)#ronnie brewer (25)#mehmet okur (13)#deron williams (11)#target center 10745#14 - 9
24#december 11#portland#w 97 - 88 (ot)#mehmet okur (27)#paul millsap (12)#deron williams (11)#energysolutions arena 19911#15 - 9
25#december 13#orlando#l 94 - 103 (ot)#andrei kirilenko , deron williams (17)#paul millsap (14)#deron williams (11)#energysolutions arena 19911#15 - 10
26#december 15#boston#l 91 - 100 (ot)#paul millsap (32)#paul millsap (10)#deron williams (7)#td banknorth garden 18624#15 - 11
27#december 17#new jersey#w 103 - 92 (ot)#mehmet okur (23)#paul millsap (12)#deron williams (11)#izod center 12542#16 - 11
28#december 19#detroit#w 120 - 114 (2ot)#deron williams (29)#paul millsap (13)#deron williams (8)#the palace of auburn hills 22076#17 - 11
29#december 20#chicago#l 98 - 106 (ot)#mehmet okur (23)#mehmet okur (13)#deron williams (6)#united center 22046#17 - 12
30#december 23#milwaukee#l 86 - 94 (ot)#andrei kirilenko (22)#andrei kirilenko (11)#deron williams (8)#bradley center 14888#17 - 13
31#december 26#dallas#w 97 - 88 (ot)#ronnie brewer (21)#andrei kirilenko (14)#deron williams (13)#energysolutions arena 19911#18 - 13
32#december 27#houston#l 115 - 120 (2ot)#ronnie brewer (23)#kyrylo fesenko (11)#deron williams (11)#toyota center 18245#18 - 14
33#december 29#philadelphia#w 112 - 95 (ot)#deron williams (27)#andrei kirilenko (13)#deron williams (6)#energysolutions arena 19911#19 - 14
