name#original publisher#first appearance#year#date
x' hal#dc comics#the new teen titans , vol 1 , 24#1982#october
x - 21#dc comics#action comics , vol 1 , 333#1966#february
x - 24#dc comics#the new titans , vol 1 , 73#1991#february
x - 2 - y#dc comics#action comics , vol 1 , 344#1966#december
x - 5 super agent#quality comics#hit comics , vol 1 , 1#1940#july
x#quality comics#military comics , vol 1 , 1#1942#march
xadu , doctor#dc comics#adventure comics , vol 1 , 283#1961#april
xanna#gorilla comics / dc comics#empire , vol 1 , 1#2000#may
xanthi#dc comics#new titans , vol 1 , 51#1989#january
xardo#dc comics#action comics , vol 1 , 325#1965#june
xasnu#dc comics#action comics , vol 1 , 278#1961#july
xavier , charles#dc comics / marvel comics#dc versus marvel comics , vol 1 , 3#1996#february
xax (i)#dc comics#green lantern , vol 2 , 9#1961#december
xax (ii)#dc comics#52 , vol 1 , 31#2006#december
x - bomb betty#dc comics#legionnaires , vol 1 , 2#1993#may
xebel#dc comics#aquaman , vol 1 , 11#1963#september
xeen arrow#dc comics#adventure comics , vol 1 , 253#1958#october
xenofobe#dc comics#superman , vol 1 295#1976#january
xeo#dc comics#detective comics , vol 1. 260#1958#october
xera#dc comics#legion of super - heroes , vol 3 , 32#1987#march
xero#dc comics#xero , vol 1 , 1#1997#may
xiang - fa#dc comics#green lantern , vol 3 , 19#1991#december
xiuhtecutli#dc comics#justice league international , vol 2 , 63#1994#april
xl terrestrial#warner bros animation#teen titans (tv series)#2004#august 28
xola aq#dc comics#adventure comics , vol 1 , 350#1966#november
xolotl#dc comics#52 , vol 1 , 21#2006#september
xombi#milestone media#xombi , vol 1 , 0#1994#january
xotar#dc comics#brave and the bold , vol 1 , 29#1960#may
xov#dc comics#action comics , 242#1958#july
xs#dc comics#legionnaires , vol 1 , 0#1994#october
xylpth#dc comics#green lantern , vol 2 , 151#1982#april
