name#latitude#longitude#diameter (km)#year named
abe mango dorsa#47.0n#212.0e#800.0#1997
achek dorsa#37.2s#230.0e#1000.0#1997
aditi dorsa#30.0s#189.0e#1200.0#1997
ahsonnutli dorsa#47.9n#196.5e#1708.0#1985
aida - wedo dorsa#73.0n#214.0e#450.0#1997
akewa dorsa#45.5n#184.0e#900.0#1997
akuanda dorsa#63.5n#232.0e#800.0#1997
alkonost dorsa#5.0s#341.0e#730.0#1997
allat dorsa#60.0n#70.0e#750.0#1985
amitolane dorsa#77.0s#335.0e#900.0#1997
anpao dorsa#62.0n#207.0e#550.0#1997
arev dorsa#52.0s#216.0e#420.0#2000
asiaq dorsa#53.0s#55.0e#400.0#1997
auska dorsum#59.9n#357.8e#361.0#1985
auå¡ra - dorsa#49.4n#25.3e#859.0#1985
barbale dorsa#15.0n#143.0e#1200.0#1997
ben dorsa#71.2n#284.1e#628.0#1985
bezlea dorsa#30.4n#36.5e#807.0#1985
biliku dorsa#47.0s#138.0e#600.0#1997
boszorkany dorsa#19.5s#105.0e#550.0#2003
breksta dorsa#35.9n#304.0e#700.0#1985
charykh - keyok dorsa#54.5n#285.0e#550.0#1997
chih nu dorsum#73.0s#195.0e#625.0#1994
dennitsa dorsa#85.6n#205.9e#872.0#1985
dodola dorsa#46.8n#272.6e#607.0#1985
dudumitsa dorsa#13.5s#358.0e#980.0#2000
dyan - mu dorsa#78.2n#31.9e#687.0#1985
dylacha dorsa#19.0s#76.0e#650.0#1997
etain dorsa#45.0s#199.0e#1400.0#1997
frigg dorsa#51.2n#150.6e#896.0#1985
fulgora dorsa#78.5 n#342.0 e#463.0#2009
hemera dorsa#51.0n#243.4e#587.0#1985
hera dorsa#36.4n#29.5e#813.0#1985
iris dorsa#52.7n#221.3e#2050.0#1985
iyele dorsa#50.0n#278.7e#595.0#1985
juno dorsum#31.0s#95.6e#1652.0#1982
kadlu dorsa#69.5s#188.0e#500.0#1997
kalm dorsa#18.0n#309.0e#300.0#1997
kamari dorsa#59.2n#55.8e#589.0#1985
kastiatsi dorsa#53.0s#245.0e#1200.0#1997
khadne dorsa#14.0s#334.5e#220.0#1997
kotsmanyako dorsa#76.0s#242.0e#1900.0#1997
kuldurok dorsa#50.4s#61.0e#1100.0#1997
lau - ma dorsa#64.8n#190.4e#1517.0#1985
laverna dorsa#50.0s#132.0e#1100.0#1997
lemkechen dorsa#18.5n#68.5e#2000.0#1997
lukelong dorsa#73.3n#178.8e#1566.0#1985
lumo dorsa#24.5n#149.0e#500.0#1997
mardezh - ava dorsa#32.4n#68.6e#906.0#1985
menkerot dorsa#20.0s#351.5e#770.0#2000
metelitsa dorsa#16.0n#31.0e#1300.0#1997
naatse - elit dorsa#66.0s#249.0e#950.0#1997
nambi dorsum#72.5s#213.0e#1125.0#1994
naran dorsa#54.0s#238.0e#600.0#1997
natami dorsa#71.5s#258.0e#800.0#1997
nephele dorsa#39.7n#138.8e#1937.0#1985
nichka dorsa#10.0s#354.0e#550.0#2000
norwan dorsa#65.0n#163.0e#450.0#1997
nuvakchin dorsa#53.0s#212.0e#2200.0#1997
odzerchen dorsa#72.0s#152.0e#300.0#2000
ojuz dorsa#6.0n#37.0e#400.0#1997
okipeta dorsa#67.5n#240.0e#1200.0#1985
oshumare dorsa#58.5s#79.0e#550.0#1997
oya dorsa#21.5n#157.5e#480.0#2003
pandrosos dorsa#58.2n#207.7e#1254.0#1985
poludnitsa dorsa#5.0n#179.5e#1500.0#1997
pulugu dorsa#65.0s#225.0e#650.0#1997
ragana dorsa#69.0s#246.0e#950.0#1997
rokapi dorsa#55.0s#222.0e#2200.0#1997
salme dorsa#58.0n#25.2e#447.0#1991
saule dorsa#58.0s#206.0e#1375.0#1994
sel - anya dorsa#79.4n#81.3e#975.0#1985
semuni dorsa#75.9n#8.0e#514.0#1985
shishimora dorsa#37.0n#297.0e#800.0#1997
sige dorsa#31.2n#106.9e#478.0#1991
siksaup dorsa#73.0s#228.0e#650.0#1997
sinanevt dorsa#66.5n#171.0e#1800.0#1997
sirona dorsa#43.5s#193.5e#700.0#1997
sogbo dorsa#40.0s#237.0e#900.0#1997
spidola dorsa#73.5s#325.0e#950.0#1997
sunna dorsa#53.0s#134.0e#500.0#1997
surupa dorsa#71.7n#209.0e#981.0#1997
tezan dorsa#81.4n#47.1e#1079.0#1985
tikoiwuti dorsa#56.0n#225.0e#1000.0#1997
tinianavyt dorsa#51.0s#239.0e#1500.0#1997
tomem dorsa#31.2n#7.2e#970.0#1985
tsovinar dorsa#46.0s#254.0e#1100.0#1997
tukwunag dorsa#69.0s#155.0e#1000.0#1997
unelanuhi dorsa#12.0n#87.0e#2600.0#1997
uni dorsa#33.7n#114.3e#800.0#1985
unuk dorsa#4.5s#351.5e#400.0#1997
urkuk dorsa#12.0s#320.0e#600.0#1997
vaiva dorsum#53.2s#204.0e#520.0#1994
varma - ava dorsa#62.3n#268.8e#767.0#1985
vedma dorsa#42.0n#159.0e#3345.0#1985
vejas - mate dorsa#70.5s#245.0e#1600.0#1997
vetsorgo dorsum#6.5s#163.0e#700.0#2000
wala dorsa#17.0s#62.0e#500.0#1997
yalyane dorsa#7.0n#177.0e#1200.0#1997
yumyn - udyr dorsa#81.4n#164.7e#1086.0#1985
zaryanitsa dorsa#0.0n#170.0e#1100.0#1997
zimcerla dorsa#47.5s#73.5e#850.0#1997
zorile dorsa#39.9n#338.4e#1041.0#1985
