player#played#legs won#legs lost#100 +#140 +#180s#high checkout#3 - dart average
phil taylor#5#48#22#77#75#19#128#104.37
mervyn king#1#3#6#7#10#3#124#100.73
simon whitlock#2#14#13#34#21#7#90#95.16
co stompã#1#2#6#10#3#4#94#98.22
mark walsh#3#20#20#52#32#7#128#92.61
barrie bates#2#12#13#47#14#2#136#95.53
terry jenkins#4#36#29#91#52#11#161#94.20
andy smith#2#11#13#41#15#2#120#90.61
antonio alcinas#1#3#6#9#8#0#160#90.82
dennis priestley#1#3#6#13#5#2#24#89.14
jamie caven#3#22#18#53#22#12#127#94.72
jelle klaasen#2#13#14#25#13#3#142#88.82
vincent van der voort#1#4#6#10#10#0#103#86.44
gary anderson#1#2#6#6#5#3#48#85.08
paul nicholson#1#3#9#5#2#5#90#83.11
andree welge#1#4#6#10#3#1#83#79.24
mark dudbridge#1#4#6#10#10#1#101#86.39
raymond van barneveld#3#24#22#64#35#8#164#97.45
alan tabern#1#5#6#16#5#3#141#90.29
robert thornton#2#10#14#42#10#3#88#88.02
bernd roith#2#13#14#43#17#2#152#87.89
andy hamilton#1#5#6#9#7#4#98#96.54
michael van gerwen#2#12#14#32#17#3#113#93.43
colin osborne#1#4#6#10#4#5#68#94.94
colin lloyd#4#36#28#80#56#15#160#97.43
tomas seyler#1#4#6#11#8#1#96#87.69
denis ovens#1#4#6#17#6#2#84#90.14
wes newton#2#15#14#34#15#10#170#94.92
adrian lewis#1#3#6#9#5#0#40#77.28
ronnie baxter#3#23#24#62#29#4#146#92.93
