year#superintendent#glendale principal#hh principal#maplemere principal#wr principal#ms principal#hs principal#h s asst principal
1972 - 1973#james finch#rich mcbride#nellie love#charlie taylor#rich auerbach#bob kramer#jim haught#jim sparrow
1973 - 1974#james finch#rich mcbride#david ebert#charlie taylor#rich auerbach#bob kramer#jim haught#jim sparrow
1974 - 1975#james finch#rich mcbride#david ebert#charlie taylor#rich auerbach#bob kramer#jim haught#jim sparrow
1975 - 1976#james finch#rich mcbride#david ebert#charlie taylor#rich auerbach#bob kramer#jim haught#jim sparrow
1976 - 1977#james finch#rich mcbride#david ebert#charlie taylor#rich auerbach#bob kramer#jim haught#jim sparrow
1977 - 1978#james finch#rich mcbride#david ebert#charlie taylor#rich auerbach#bob kramer#jim haught#jim sparrow
1978 - 1979#james finch#rich mcbride#david ebert#charlie taylor#rich auerbach#bob kramer#jim haught#jim sparrow
1979 - 1980#james finch#rich mcbride#david ebert#charlie taylor#rich auerbach#bob kramer#jim haught#jim sparrow
1980 - 1981#james finch#rich mcbride#david ebert#charlie taylor#frank mercer#bob kramer#jim haught#jim sparrow
1981 - 1982#james finch#rich mcbride#rich auerbach#charlie taylor#charlie carle#bob kramer#jim haught#jim sparrow
1982 - 1983#james finch#rich mcbride#rich auerbach#charlie taylor#charlie carle#bob kramer#jim haught#jim sparrow
1983 - 1984#james finch#rich mcbride#rich auerbach#charlie taylor#charlie carle#bob kramer#jim haught#jim sparrow
1984 - 1985#james finch#rich mcbride#sue mendle#charlie taylor#charlie carle#bob kramer#jim haught#jim sparrow
1985 - 1986#james finch#rich mcbride#sue mendel#charlie taylor#charlie carle#bob kramer#jim haught#jim sparrow
1986 - 1987#james finch#rich mcbride#sue mendel#charlie taylor#charlie carle#bob kramer#jim haught#jim sparrow
1987 - 1988#james finch#rich mcbride#sue mendel#charlie taylor#charlie carle#bob kramer#jim haught#jim sparrow
1988 - 1989#james finch#rich mcbride#sue mendel#charlie taylor#charlie carle#bob kramer#jim haught#jim sparrow
1989 - 1990#james finch#al kuhn#sue mendel#charlie taylor#charlie carle#craig allwes#jim haught#jim sparrow
1990 - 1991#james finch#sue krilovich#sue mendel#michelle kavanaugh#charlie carle#craig allwes#jim haught#jim sparrow
1991 - 1992#gary cooper#sue krikovich#sue mendel#michelle kavanaugh#charlie carle#craig allwes#jim haught#jim sparrow
1992 - 1993#gary cooper#sue krikovich#sue mendel#michelle kavanaugh#charlie carle#craig allwes#dave ebert#jim sparrow
1993 - 1994#gary cooper#sue krikovich#sue mendel#michelle kavanaugh#charlie carle#craig allwes#paul hendel#jim sparrow
1994 - 1995#gary cooper#sue krikovich#sue mendel#michelle kavanaugh#charlie carle#craig allwes#paul hendel#jim sparrow
1995 - 1996#gary cooper#sue krikovich#sue mendel#michelle kavanaugh#charlie carle#craig allwes#paul hendel#margaret puzio
1996 - 1997#gary cooper#sue krikovich#sue mendel#michelle kavanaugh#charlie carle#craig allwes#paul hendel#margaret puzio
1997 - 1998#gary cooper#sue krikovich#sue hausman#ann laudisio#charlie carle#craig allwes#paul hendel#bonnie bolea
1998 - 1999#gary cooper#joyce brace#sue hausman#ann laudisio#charlie carle#geoff hicks#paul hendel#bonnie bolea
1999 - 2000#gary cooper#joyce brace#sue hausman#ann laudisio#charlie carle#geoff hicks#paul hendel#bonnie bolea
2000 - 2001#jim sheehan#joyce brace#sue hausman#ann laudisio#charlie carle#geoff hicks#paul hendel#paul casseri
2001 - 2002#jim sheehan#joyce brace#sue hausman#ann laudisio#charlie carle#geoff hicks#paul hendel#paul casseri
2002 - 2003#geoff hicks#joyce brace#scott wolf#ann laudisio#charlie carle#daryl janus#paul hendel#joleen reinholz
2003 - 2004#geoff hicks#joyce brace#scott wolf#ann laudisio#charlie carle#joe zwack#paul hendel#joleen reinholz
2004 - 2005#geoff hicks#joyce brace#scott wolf#ann laudisio#bonnie bolea#joe zwack#sue thomas#kevin woznek
2005 - 2006#geoff hicks#joyce brace#scott wolf#ann laudisio#dave lovering#greg smorel#sue thomas#joe zwack
2006 - 2007#geoff hicks#joyce brace#scott wolf#ann laudisio#dave lovering#greg smorel#joleen reinholz#joe zwack
2007 - 2008#geoff hicks#joyce brace#scott wolf#ann laudisio#dave lovering#greg smorel#joleen reinholz#joe zwack
2008 - 2009#geoff hicks#joyce brace#scott wolf#ann laudisio#dave lovering#greg smorel#joleen reinholz#joe zwack
2009 - 2010#geoff hicks#joyce brace#scott wolf#ann laudisio#dave lovering#greg smorel#joleen reinholz#joe zwack
2010 - 2011#tony day#joyce brace#scott wolf#ann laudisio#dave lovering#marty pizur#joleen reinholz#joe zwack
2011 - 2012#tony day#joyce brace#scott wolf#ann laudisio#dave lovering#marty pizur#joleen reinholz#joe zwack
2012 - 2013#tony day#joyce brace#scott wolf#ann laudisio#dave lovering#marty pizur#joleen reinholz#joe zwack
2013 - 2014#tony day#joyce brace#scott wolf#ann laudisio#dave lovering#marty pizur#joleen reinholz#joe zwack
