district#incumbent#party#elected#status#opponent
california 5#nancy pelosi#democratic#1987#re - elected#nancy pelosi (d) 77.2% alan nichols (r) 22.8%
california 6#barbara boxer#democratic#1982#re - elected#barbara boxer (d) 68.1% bill boerum (r) 31.9%
california 7#george miller#democratic#1974#re - elected#george miller (d) 60.5% roger a payton (r) 39.5%
california 8#ron dellums#democratic#1970#re - elected#ron dellums (d) 61.3% barbara galewski (r) 38.7%
california 9#pete stark#democratic#1972#re - elected#pete stark (d) 58.4% victor romero (r) 41.6%
california 10#don edwards#democratic#1972#re - elected#don edwards (d) 62.7% mark patrosso (r) 37.3%
california 15#gary condit#democratic#1989#re - elected#gary condit (d) 66.2% cliff burris (r) 33.8%
california 18#richard h lehman#democratic#1982#re - elected#richard h lehman (d) unopposed
california 34#ed torres#democratic#1982#re - elected#ed torres (d) 60.7% john eastman (r) 39.3%
california 36#george brown , jr#democratic#1962 / 1972#re - elected#george brown , jr (d) 52.7% bob hammock (r) 47.3%
california 38#bob dornan#republican#1976 / 1984#re - elected#bob dornan (r) 58.1% barbara jackson (d) 41.9%
california 40#christopher cox#republican#1988#re - elected#christopher cox (r) 67.6% eugene gratz (d) 32.4%
