outcome#date#surface#partner#opponents#score
runner - up#february 18 , 2007#hard#hsieh su - wei#chan yung - jan chuang chia - jung#7 - 6 (7 - 4) , 2 - 6 ,
winner#september 23 , 2007#hard#vania king#alberta brianti mariya koryttseva#6 - 1 , 6 - 4
runner - up#july 13 , 2008#clay#anastasia pavlyuchenkova#sara errani nuria llagostera vives#6 - 2 , 6 - 7 (1 - 7) ,
runner - up#october 11 , 2009#hard#ekaterina makarova#hsieh su - wei peng shuai#3 - 6 , 1 - 6
runner - up#may 22 , 2010#clay#anastasia rodionova#alizé cornet vania king#6 - 3 , 4 - 6 ,
winner#june 20 , 2010#grass#anastasia rodionova#vania king yaroslava shvedova#3 - 6 , 6 - 3 ,
winner#february 19 , 2011#hard (i)#olga govortsova#andrea hlaváčková lucie hradecká#6 - 3 , 4 - 6 ,
winner#june 12 , 2011#grass#olga govortsova#sara errani roberta vinci#1 - 6 , 6 - 1 ,
runner - up#july 31 , 2011#hard#olga govortsova#sania mirza yaroslava shvedova#3 - 6 , 3 - 6
winner#september 15 , 2013#carpet (i)#anastasia rodionova#andrea hlaváčková lucie hradecká#6 - 4 , 6 - 3
runner - up#october 20 , 2013#hard (i)#anastasia rodionova#svetlana kuznetsova samantha stosur#1 - 6 , 6 - 1 ,
