coach#first yr#last yr#w - l%#g >.500#yr plyf#g plyf#w plyf#l plyf
faye abbott#1928#1929#.000#- 13#0#0#0#0
frankie albert#1956#1958#.543#3#1#1#0#1
joe alexander#1922#1926#.500#0#0#0#0#0
george allen#1966#1977#.712#69#7#9#2#7
hunk anderson#1942#1945#.676#12#2#2#1#1
roy andrews#1924#1931#.654#24#0#0#0#0
johnny armstrong#1924#1924#.714#3#0#0#0#0
neill armstrong#1978#1981#.469#- 4#1#1#0#1
bill arnsparger#1974#1976#.200#- 21#0#0#0#0
bill austin#1966#1970#.321#- 19#0#0#0#0
joe bach#1935#1953#.438#- 6#0#0#0#0
herman ball#1949#1951#.200#- 12#0#0#0#0
shorty barr#1926#1926#.333#- 1#0#0#0#0
norm barry#1925#1926#.667#8#0#0#0#0
jim bates#2004#2004#.429#- 1#0#0#0#0
dim batterson#1927#1927#.000#- 5#0#0#0#0
cliff battles#1946#1947#.200#- 12#0#0#0#0
sammy baugh#1960#1964#.429#- 6#0#0#0#0
bull behman#1929#1931#.394#- 7#0#0#0#0
bill belichick#1991#2012#.649#86#11#24#17#7
bert bell#1936#1941#.179#- 36#0#0#0#0
phil bengtson#1968#1972#.457#- 4#0#0#0#0
leeman bennett#1977#1986#.420#- 19#3#4#1#3
dutch bergman#1943#1943#.667#3#1#2#1#1
raymond berry#1984#1989#.552#9#2#5#3#2
punk berryman#1924#1926#.583#4#0#0#0#0
tom bettis#1977#1977#.143#- 5#0#0#0#0
hugo bezdek#1937#1938#.071#- 12#0#0#0#0
scotty bierce#1925#1925#.667#2#0#0#0#0
ed biles#1981#1983#.258#- 15#0#0#0#0
brian billick#1999#2007#.556#16#4#8#5#3
lisle blackbourn#1954#1957#.354#- 14#0#0#0#0
pat boland#1946#1946#.400#- 1#0#0#0#0
joe brandy#1924#1924#.000#- 6#0#0#0#0
wayne brenkert#1923#1924#.300#- 4#0#0#0#0
untz brewer#1922#1922#.375#- 2#0#0#0#0
charlie brickley#1921#1921#.000#- 2#0#0#0#0
frank bridges#1944#1944#.000#- 5#0#0#0#0
marty brill#1931#1931#.500#0#0#0#0#0
rich brooks#1995#1996#.406#- 6#0#0#0#0
paul brown#1946#1975#.672#109#15#17#9#8
fred bruney#1985#1985#1.000#1#0#0#0#0
johnny bryan#1925#1926#.133#- 11#0#0#0#0
joe bugel#1990#1997#.300#- 32#0#0#0#0
hank bullough#1978#1986#.182#- 14#0#0#0#0
jerry burns#1986#1991#.547#9#3#6#3#3
tom cable#2008#2010#.386#- 10#0#0#0#0
jim caldwell#2009#2011#.542#4#2#4#2#2
bill callahan#2002#2003#.469#- 2#1#3#2#1
cam cameron#2007#2007#.063#- 14#0#0#0#0
hugh campbell#1984#1985#.267#- 14#0#0#0#0
marion campbell#1974#1989#.298#- 46#0#0#0#0
dave campo#2000#2002#.313#- 18#0#0#0#0
dom capers#1995#2005#.375#- 32#1#2#1#1
pete carroll#1994#2012#.518#4#4#5#2#3
bud carson#1989#1990#.458#- 2#1#2#1#1
eddie casey#1935#1935#.200#- 6#0#0#0#0
pete cawthon#1943#1944#.133#- 11#0#0#0#0
guy chamberlin +#1922#1927#.784#42#0#0#0#0
coonie checkaye#1921#1921#.000#- 2#0#0#0#0
jack chevigny#1932#1932#.250#- 4#0#0#0#0
brad childress#2006#2010#.527#4#2#3#1#2
algy clark#1934#1934#.000#- 8#0#0#0#0
dutch clark +#1937#1942#.469#- 4#0#0#0#0
monte clark#1976#1984#.432#- 16#2#2#0#2
potsy clark#1931#1940#.604#22#1#1#1#0
stan cofall#1920#1920#.000#- 2#0#0#0#0
blanton collier#1963#1970#.691#42#5#7#3#4
joe collier#1966#1968#.448#- 3#1#1#0#1
red conkright#1962#1962#.111#- 7#0#0#0#0
jimmy conzelman +#1921#1948#.580#24#2#2#1#1
al cornsweet#1931#1931#.200#- 6#0#0#0#0
don coryell#1973#1986#.572#28#6#9#3#6
bruce coslet#1990#2000#.379#- 30#1#1#0#1
frank coughlin#1921#1921#.000#- 1#0#0#0#0
tom coughlin#1995#2012#.555#30#9#19#12#7
bill cowher#1992#2006#.623#59#10#21#12#9
milan creighton#1935#1938#.381#- 10#0#0#0#0
romeo crennel#2005#2012#.337#- 27#0#0#0#0
clem crowe#1949#1950#.294#- 7#1#1#0#1
jim crowley#1947#1947#.000#- 10#0#0#0#0
gunther cunningham#1999#2000#.500#0#0#0#0#0
russ daugherty#1927#1927#.500#0#0#0#0#0
al davis#1963#1965#.590#7#0#0#0#0
butch davis#2001#2004#.414#- 10#1#1#0#1
red dawson#1946#1949#.432#- 6#1#2#1#1
dudley degroot#1944#1947#.619#10#1#1#0#1
jack del rio#2003#2012#.489#- 3#2#3#1#2
herb dell#1922#1922#.000#- 8#0#0#0#0
jack depler#1929#1931#.364#- 9#0#0#0#0
dan devine#1971#1974#.481#- 2#1#1#0#1
hugh devore#1953#1957#.280#- 11#0#0#0#0
lone star dietz#1933#1934#.500#0#0#0#0#0
luby dimeolo#1934#1934#.167#- 8#0#0#0#0
mike ditka +#1982#1999#.560#26#7#12#6#6
mel doherty#1921#1921#.250#- 2#0#0#0#0
aldo donelli#1941#1944#.267#- 7#0#0#0#0
jim dooley#1968#1971#.357#- 16#0#0#0#0
gus dorais#1943#1947#.392#- 11#0#0#0#0
jap douds#1933#1933#.333#- 3#0#0#0#0
bob dove#1946#1946#.500#0#0#0#0#0
rod dowhower#1985#1986#.172#- 19#0#0#0#0
paddy driscoll +#1920#1957#.646#14#1#1#0#1
walt driskill#1949#1949#.125#- 6#0#0#0#0
chuck drulis#1961#1961#1.000#2#0#0#0#0
tony dungy#1996#2008#.668#70#11#19#9#10
bill edwards#1941#1942#.308#- 5#0#0#0#0
cap edwards#1921#1925#.542#2#0#0#0#0
herman edwards#2001#2008#.422#- 20#4#6#2#4
turk edwards +#1946#1948#.471#- 2#6#5#12#4
eddie erdelatz#1960#1961#.375#- 4#0#0#0#0
ron erhardt#1978#1981#.429#- 7#0#0#0#0
dennis erickson#1995#2004#.417#- 16#0#0#0#0
hal erickson#1924#1924#.385#- 3#0#0#0#0
charley ewart#1949#1949#.091#- 9#0#0#0#0
weeb ewbank#1954#1973#.502#1#4#5#4#1
chuck fairbanks#1973#1978#.541#7#2#2#0#2
guil falcon#1920#1923#.500#0#0#0#0#0
jim fassel#1997#2003#.523#5#3#5#2#3
jack faulkner#1962#1964#.290#- 13#0#0#0#0
frank fausch#1921#1922#.375#- 2#0#0#0#0
tom fears +#1967#1970#.277#- 21#0#0#0#0
marty feldman#1961#1962#.118#- 13#0#0#0#0
perry fewell#2009#2009#.429#- 1#0#0#0#0
frank filchock#1960#1961#.259#- 13#0#0#0#0
jack fish#1930#1930#.200#- 3#0#0#0#0
jeff fisher#1994#2012#.539#22#6#11#5#6
ray flaherty +#1936#1949#.684#43#6#6#2#4
tom flores#1979#1994#.527#10#5#11#8#3
bob folwell#1925#1925#.667#4#0#0#0#0
wayne fontes#1988#1996#.496#- 1#4#5#1#4
jack forsyth#1920#1921#.571#2#0#0#0#0
rick forzano#1974#1976#.469#- 2#0#0#0#0
john fox#2002#2012#.534#12#5#10#6#4
benny friedman +#1930#1932#.357#- 4#0#0#0#0
chan gailey#1998#2012#.425#- 12#2#2#0#2
frank gansz#1987#1988#.267#- 14#0#0#0#0
budge garrett#1922#1922#.667#1#0#0#0#0
mike getto#1942#1942#.273#- 5#0#0#0#0
joe gibbs#1981#2007#.621#60#10#24#17#7
abe gibron#1972#1974#.268#- 19#0#0#0#0
george gibson#1930#1930#.231#- 7#0#0#0#0
kevin gilbride#1997#1998#.273#- 10#0#0#0#0
fred gillies#1928#1928#.167#- 4#0#0#0#0
sid gillman#1955#1974#.552#23#6#6#1#5
hank gillo#1920#1920#.286#- 3#0#0#0#0
harry gilmer#1965#1966#.385#- 6#0#0#0#0
jerry glanville#1985#1993#.465#- 9#4#7#3#4
archie golembeski#1925#1925#.545#1#0#0#0#0
otto graham +#1966#1968#.436#- 5#0#0#0#0
bud grant#1967#1985#.622#62#12#22#10#12
dennis green#1992#2006#.546#19#8#12#4#8
forrest gregg +#1975#1987#.469#- 10#2#4#2#2
hal griffen#1930#1930#.455#- 1#0#0#0#0
tex grigg#1925#1925#.000#- 6#0#0#0#0
al groh#2000#2000#.563#2#0#0#0#0
jon gruden#1998#2008#.540#14#5#9#5#4
hinkey haines#1931#1931#.250#- 2#0#0#0#0
george halas +#1920#1967#.682#170#8#9#6#3
todd haley#2009#2011#.422#- 7#1#1#0#1
phil handler#1943#1951#.105#- 30#0#0#0#0
ray handley#1991#1992#.438#- 4#0#0#0#0
jim hanifan#1980#1989#.424#- 14#1#1#0#1
bo hanley#1924#1924#.000#- 4#0#0#0#0
dick hanley#1946#1946#.500#0#0#0#0#0
hal hanson#1932#1932#.222#- 5#0#0#0#0
john harbaugh#2008#2012#.675#28#5#9#9#4
jim haslett#2000#2008#.435#- 14#1#2#1#1
norb hecker#1966#1968#.133#- 22#0#0#0#0
ernie hefferle#1975#1975#.125#- 6#0#0#0#0
jack hegarty#1921#1921#.333#- 1#0#0#0#0
mel hein +#1947#1947#.667#1#0#0#0#0
jack heldt#1926#1926#.143#- 5#0#0#0#0
gus henderson#1939#1939#.545#1#0#0#0#0
dutch hendrian#1923#1923#.000#- 5#0#0#0#0
dan henning#1983#1991#.342#- 35#0#0#0#0
pete henry +#1926#1928#.150#- 14#0#0#0#0
wally hess#1922#1924#.200#- 9#0#0#0#0
red hickey#1959#1963#.500#0#0#0#0#0
max hicks#1921#1921#.250#- 2#0#0#0#0
austin higgins#1921#1921#.000#- 2#0#0#0#0
bob hollway#1971#1972#.308#- 10#0#0#0#0
mike holmgren#1992#2008#.592#50#12#24#13#11
mike holovak#1961#1976#.525#5#1#2#1#1
lou holtz#1976#1976#.231#- 7#0#0#0#0
arnie horween#1923#1924#.619#5#0#0#0#0
jim lee howell#1954#1960#.663#26#3#4#2#2
tommy hudspeth#1976#1977#.458#- 2#0#0#0#0
ken huffine#1920#1920#.000#- 1#0#0#0#0
ed hughes#1971#1971#.308#- 5#0#0#0#0
tommy hughitt#1920#1924#.694#19#0#0#0#0
hal hunter#1984#1984#.000#- 1#0#0#0#0
tut imlay#1926#1926#.667#3#0#0#0#0
lindy infante#1988#1997#.375#- 24#1#1#0#1
cecil isbell#1947#1951#.303#- 13#1#1#0#1
pop ivy#1958#1963#.432#- 10#1#1#0#1
dick jauron#1999#2009#.423#- 22#1#1#0#1
herb joesting#1929#1929#.100#- 8#0#0#0#0
bill johnson#1976#1978#.545#3#0#0#0#0
harvey johnson#1968#1971#.080#- 21#0#0#0#0
jimmy johnson#1989#1999#.556#16#6#13#9#4
luke johnsos#1942#1945#.676#12#2#2#1#1
al jolley#1929#1933#.091#- 9#0#0#0#0
june jones#1994#1998#.379#- 14#1#1#0#1
ralph jones#1930#1932#.706#14#0#0#0#0
bull karcis#1942#1942#.000#- 8#0#0#0#0
jim kendrick#1923#1926#.364#- 3#0#0#0#0
jack keogh#1926#1926#.300#- 4#0#0#0#0
ed khayat#1971#1972#.348#- 7#0#0#0#0
walt kiesling +#1939#1956#.353#- 25#0#0#0#0
lane kiffin#2007#2008#.250#- 10#0#0#0#0
chuck knox#1973#1994#.559#39#11#18#7#11
herb kopf#1944#1946#.241#- 15#0#0#0#0
walt koppisch#1925#1925#.143#- 5#0#0#0#0
ollie kraehe#1923#1923#.200#- 3#0#0#0#0
ed kubale#1944#1944#.000#- 5#0#0#0#0
gary kubiak#2006#2012#.527#6#2#2#1#1
joe kuharich#1952#1968#.417#- 23#0#0#0#0
hank kuhlmann#1989#1989#.000#- 5#0#0#0#0
frank kush#1982#1984#.282#- 17#0#0#0#0
jim laird#1926#1926#.417#- 2#0#0#0#0
curly lambeau +#1921#1953#.631#94#5#5#3#2
tom landry +#1960#1988#.607#88#18#36#20#16
dick lebeau#2000#2002#.267#- 21#0#0#0#0
wally lemm#1961#1970#.500#0#3#3#1#2
jim leonard#1945#1945#.200#- 6#0#0#0#0
marv levy#1978#1997#.561#31#8#19#11#8
art lewis#1938#1938#.500#0#0#0#0#0
marvin lewis#2003#2012#.496#- 1#4#3#0#3
scott linehan#2006#2008#.306#- 14#0#0#0#0
vince lombardi#1959#1969#.738#62#6#10#9#1
leo lyons#1923#1924#.000#- 7#0#0#0#0
john mackovic#1983#1986#.469#- 4#1#1#0#1
dick macpherson#1991#1992#.250#- 16#0#0#0#0
john madden#1969#1978#.763#71#8#16#9#7
lou mahrt#1927#1927#.143#- 5#0#0#0#0
ray malavasi#1966#1982#.518#3#3#6#3#3
eric mangini#2006#2010#.413#- 14#1#1#0#1
ted marchibroda#1975#1998#.470#- 11#4#6#2#4
rod marinelli#2006#2008#.208#- 28#0#0#0#0
