player#tries#goals#field goals#points
hazem el masri#6#44#0#112
heka nanai#8#0#0#32
tim winitana#8#0#0#32
daniel holdsworth#4#5#1#27
matthew utai#6#0#0#24
luke patten#4#0#0#16
andrew ryan#4#0#0#16
willie tonga#3#0#0#12
arana taumata#3#0#0#12
brent crisp#1#3#0#10
ben roberts#2#0#0#8
reni maitua#2#0#0#8
corey hughes#2#0#0#8
cameron phelps#1#0#0#4
nick youngquest#1#0#0#4
andrew emelio#1#0#0#4
daryl millard#1#0#0#4
lee te maari#1#0#0#4
danny williams#1#0#0#4
ben barba#1#0#0#4
fred briggs#0#0#0#0
total#64#52#1#333
