outcome#year#championship#surface#partner#opponents in the final#score in the final
winner#1972#french open#clay#billie jean king#winnie shaw nell truman#6 - 1 , 6 - 2
winner#1972#wimbledon#grass#billie jean king#françoise dürr judy tegart dalton#6 - 2 , 4 - 6 , 6 - 3
winner#1972#us open#grass#françoise dürr#margaret court virginia wade#6 - 3 , 1 - 6 , 6 - 3
runner - up#1973#french open#clay#françoise dürr#margaret court virginia wade#6 - 2 , 6 - 3
runner - up#1973#wimbledon#grass#françoise dürr#rosie casals billie jean king#6 - 1 , 4 - 6 , 7 - 5
runner - up#1974#us open#grass#françoise dürr#rosie casals billie jean king#7 - 6 , 6 - 7 , 6 - 4
runner - up#1975#wimbledon#grass#françoise dürr#ann kiyomura kazuko sawamatsu#7 - 5 , 1 - 6 , 7 - 5
runner - up#1976#wimbledon#grass#billie jean king#chris evert martina navratilova#6 - 1 , 3 - 6 , 7 - 5
runner - up#1977#wimbledon#grass#martina navratilova#helen gourlay joanne russell#6 - 3 , 6 - 3
winner#1977#us open (2)#clay#martina navratilova#renée richards betty - ann stuart#6 - 1 , 7 - 6
winner#1979#french open (2)#clay#wendy turnbull#françoise dürr virginia wade#3 - 6 , 7 - 5 , 6 - 4
runner - up#1979#wimbledon#grass#wendy turnbull#billie jean king martina navratilova#5 - 7 , 6 - 3 , 6 - 2
winner#1979#us open (3)#hard#wendy turnbull#billie jean king martina navratilova#6 - 4 , 6 - 3
