no in series#title#directed by#written by#original air date#production code#us viewers (millions)
1#something wicca this way comes#john t kretchmer#constance m burge#october 7 , 1998#1498704#7.7
2#i've got you under my skin#john t kretchmer#brad kern#october 14 , 1998#4398001#7.4
3#thank you for not morphing#ellen pressman#chris levinson & zack estrin#october 21 , 1998#4398003#6.8
4#dead man dating#richard compton#javier grillo - marxuach#october 28 , 1998#4398005#6.4
5#dream sorcerer#nick marck#constance m burge#november 4 , 1998#4398002#5.8
6#the wedding from hell#richard ginty#greg elliot & michael perricone#november 11 , 1998#4398004#6.2
7#the fourth sister#gilbert adler#edithe swensen#november 18 , 1998#4398006#6.6
8#the truth is out there and it hurts#james a contner#zack estrin & chris levinson#november 25 , 1998#4398007#4.6
9#the witch is back#richard denault#sheryl j anderson#december 16 , 1998#4398008#6.0
10#wicca envy#mel damski#brad kern & sheryl j anderson#january 13 , 1999#4398009#5.7
12#the wendigo#james l conway#edithe swensen#february 3 , 1999#4398011#5.7
13#from fear to eternity#les sheldon#tony blake & paul jackson#february 10 , 1999#4398012#5.7
14#secrets and guys#james a contner#constance m burge & sheryl j anderson#february 17 , 1999#4398013#5.5
15#is there a woogy in the house#john t kretchmer#zack estrin & chris levinson#february 24 , 1999#4398014#4.8
16#which prue is it , anyway#john behring#javier grillo - marxuach#march 3 , 1999#4398015#5.1
17#that '70s episode#richard denault#sheryl j anderson#april 7 , 1999#4398016#6.5
18#when bad warlocks turn good#kevin inch#edithe swensen#april 28 , 1999#4398017#5.6
19#out of sight#craig zisk#tony blake & paul jackson#may 5 , 1999#4398018#5.7
20#the power of two#elodie keene#brad kern#may 12 , 1999#4398019#5.7
