place#player#country#score#to par
1#bobby clampett#united states#67 + 66 + 78 = 211#- 5
2#nick price#zimbabwe#69 + 69 + 74 = 212#- 4
t3#sandy lyle#scotland#74 + 66 + 73 = 213#- 3
t3#des smyth#ireland#70 + 69 + 74 = 213#- 3
5#tom watson#united states#69 + 71 + 74 = 214#- 2
t6#masahiro kuramoto#japan#71 + 73 + 71 = 215#- 1
t6#peter oosterhuis#england#74 + 67 + 74 = 215#- 1
t8#nick faldo#england#73 + 71 + 71 = 217#+ 1
t8#bernhard langer#west germany#70 + 69 + 78 = 217#+ 1
t8#tom purtzer#united states#76 + 66 + 75 = 217#+ 1
t8#denis watson#zimbabwe#75 + 69 + 73 = 217#+ 1
t8#fuzzy zoeller#united states#73 + 71 + 73 = 217#+ 1
