res#record#opponent#method#event#round#time#location
loss#15 - 8#kalib starnes#decision (unanimous)#afc 19: undisputed#3#5:00#edmonton , alberta , canada
win#15 - 7#jordan tracey#tko (punches)#kotc : earthquake#1#2:25#edmonton , alberta , canada
loss#14 - 7#mike hackert#tko (punches)#mfc 34#1#2:27#edmonton , canada
loss#14 - 6#mike hackert#decision (unanimous)#prestige fc 4#3#5:00#fort mcmurray , canada
win#14 - 5#craig hudson#ko (punch)#kotc : unified#1#2:06#grande prairie , alberta canada
win#13 - 5#vince lucero#submission (guillotine choke)#amma 8: unfinished business#1#1:14#edmonton , alberta canada
loss#12 - 5#matt mitrione#tko (punches)#ufc fight night 23#1#2:59#fort hood , texas , united states
win#12 - 4#travis wiuff#ko (punch)#amma 5: uprising#1#1:50#edmonton , alberta , canada
win#11 - 4#zak jensen#ko (knee)#amma 4: victory#1#2:11#edmonton , alberta , canada
loss#10 - 4#joey beltran#decision (unanimous)#ufc 113#3#5:00#montreal , quebec , canada
loss#10 - 3#chris tuchscherer#decision (majority)#ufc 109#3#5:00#las vegas , nevada , united states
loss#10 - 2#todd duffee#ko (punches)#ufc 102#1#0:07#portland , oregon , united states
win#10 - 1#pat barry#submission (guillotine choke)#ufc 98#1#1:42#las vegas , nevada , united states
win#9 - 1#miodrag petković#decision (unanimous)#raw combat : redemption#3#5:00#calgary , alberta , canada
win#8 - 1#sherman pendergarst#tko (strikes)#kotc canada : unrefined#2#n / a#edmonton , alberta , canada
win#7 - 1#jeff lundburg#ko (punches)#kotc canada : moment de vérité#1#n / a#montreal , quebec , canada
win#6 - 1#jared kilkenny#ko (punch)#kotc canada : brawl in the mall 3#1#0:09#edmonton , alberta , canada
loss#5 - 1#miodrag petković#decision (split)#hardcore championship fighting : destiny#3#5:00#calgary , alberta , canada
win#5 - 0#adriano bernardo#tko (doctor stoppage)#kotc canada : brawl in the mall#2#3:49#edmonton , alberta , canada
win#4 - 0#ruben villareal#decision (unanimous)#kotc : megiddo#3#5:00#vernon , british columbia , canada
win#3 - 0#jared kilkenny#tko (punches)#kotc canada : amplified#2#0:31#edmonton , alberta , canada
win#2 - 0#jessie jones#submission (verbal)#kotc canada : icebreaker#1#3:12#prince george , british columbia , canada
win#1 - 0#eric macdonald#submission (guillotine choke)#kotc canada : detonator#2#n / a#calgary , alberta , canada
