year#play#role#theatre#location
1940#liliom#julie#forty - fourth street theater#new york city , new york
1941#anna christie#anna christopherson#lobero theatre#santa barbara , california
1946#joan of lorraine#joan of arc / mary grey#alvin theater#new york city , new york
1953#joan of arc at the stake#joan of arc#san carlo opera house#naples , italy
1956#tea and sympathy#laura reynolds#thétre de paris#paris , france
1962#hedda gabler#hedda gabler#thétre montparnasse gaston baty#paris , france
1965#a month in the country#natalia petrovna#yvonne arnaud theatre#guildford , united kingdom
1967#more stately mansions#deborah harford#broadhurst theatre#new york city , new york
1971#captain brassbound 's conversion#lady cecily waynflete#cambridge theatre#london , united kingdom
1972#captain brassbound 's conversion#lady cecily waynflete#opera house , kennedy center#washington , dc
1973#the constant wife#constance middleton#albery theatre#london , united kingdom
1975#the constant wife#constance middleton#shubert theatre#new york city , new york
1977#waters of the moon#helen lancaster#festival theatre#chichester , united kingdom
1978#waters of the moon#helen lancaster#haymarket theatre#london , united kingdom
