letters#organization#nickname#founding date#founding university#type#canadian chapters
αγδ#alpha gamma delta#a g d or alpha gam or gams#1904 - 05 - 30#syracuse university#social#8 active , 2 inactive
αδπ#alpha delta pi#a d pi#1851 - 05 - 15#wesleyan college#social#3 active , 1 inactive
aεφ#alpha epsilon phi#a e phi or phisters#1909 - 10 - 24#barnard college#jewish#1 active , 2 inactive
αοπ#alpha omicron pi#aopi alphas alpha o 's#1897 - 01 - 02#barnard college#social#8 active
aφ#alpha phi#a - phi#1872 - 10 - 10#syracuse university#social#6 active , 1 inactive
γφβ#gamma phi beta#gamma phi , g - phi - b or g - phi#1874 - 11 - 11#syracuse university#social#3 active , 2 inactive
δγ#delta gamma#dg or deegee#1873 - 12 - 25#lewis school for girls#social#3 active , 2 inactive
δδδ#delta delta delta#tri delta#1888 - 11 - 27#boston university#social#2 active , 2 inactive
δζ#delta zeta#dz#1902 - 10 - 24#miami university#social#1 active , 1 inactive
δφε#delta phi epsilon#dphie#1917 - 03 - 17#new york university law school#social#1 active , 5 inactive
καθ#kappa alpha theta#theta or kat#1870 - 01 - 27#depauw university#social#4 active , 2 inactive
κκγ#kappa kappa gamma#kappa#1870 - 10 - 13#monmouth college#social#4 active , 1 inactive
πβφ#pi beta phi#pi phi#1867 - 04 - 28#monmouth college#social#4 active , 2 inactive
