year#mens singles#womens singles#mens doubles#womens doubles#mixed doubles
1958#helmut kraule#lotte heri#valentin taupe august woschitz#hilde taupe anni taupe#bernd frohnwieser hilde themel
1959#bernd frohnwieser#hilde taupe#hans fauland heinz gertz#lotte heri anni ninaus#bernd frohnwieser hilde themel
1960#bernd frohnwieser#lotte heri#bernd frohnwieser heinz ottmann#hilde taupe anni taupe#bernd frohnwieser hilde themel
1961#fritz plockinger#hilde taupe#bernd frohnwieser heinz ottmann#hilde taupe anni taupe#hermann fröhlich lore voit
1962#heinz ottmann#britta kajdasz#franz fuchs kurt achtleitner#britta kajdasz christa schlogl#hermann fröhlich lore voit
1963#reinhold pum#britta kajdasz#reinhold pum karl buchart#lore voit brigitte hlinka#reinhold pum brigitte hlinka
1964#reinhold pum#hilde kreulitsch#reinhold pum karl buchart#lore voit brigitte hlinka#hermann fröhlich lore voit
1965#reinhold pum#hilde kreulitsch#reinhold pum karl buchart#elisabeth wieltschnig ingrid wieltschnig#hermann fröhlich lore voit
1966#reinhold pum#elisabeth wieltschnig#franz fuchs erwin kirchhofer#elisabeth wieltschnig ingrid wieltschnig#reinhold pum ingrid wieltschnig
1967#hermann fröhlich#ingrid wieltschnig#bernd frohnwieser reinhold pum#elisabeth wieltschnig ingrid wieltschnig#reinhold pum ingrid wieltschnig
1968#reinhold pum#ingrid wieltschnig#reinhold pum leopold bauer#elisabeth wieltschnig ingrid wieltschnig#reinhold pum ingrid wieltschnig
1969#hermann fröhlich#ingrid wieltschnig#reinhold pum leopold bauer#elisabeth wieltschnig ingrid wieltschnig#hermann fröhlich lore könig
1970#hermann fröhlich#hilde kreulitsch#erwin kirchhofer karl klesadl#elisabeth wieltschnig ingrid wieltschnig#hermann fröhlich lore könig
1971#hermann fröhlich#ingrid wieltschnig#alfred hofer dieter hofer#elisabeth wieltschnig ingrid wieltschnig#reinhold pum friederike pum
1972#alfred hofer#ingrid wieltschnig#leopold bauer alfred kohlhauser#elisabeth wieltschnig ingrid wieltschnig#siegfried jost ingrid wieltschnig
1973#hermann fröhlich#elisabeth wieltschnig#alfred hofer dieter hofer#elisabeth wieltschnig ingrid potocnik#hermann fröhlich lore könig
1974#hermann fröhlich#brigitte reichman#alfred hofer dieter hofer#elisabeth wieltschnig ingrid potocnik#hermann fröhlich lore könig
1975#reinhold pum#brigitte reichman#johann ratheyser gerald hofegger#elisabeth schechtner brigitte reichmann#hermann fröhlich lore könig
1976#reinhold pum#ingrid potocnik#johann ratheyser gerald hofegger#elisabeth wieltschnig ingrid potocnik#gerald hofegger ingrid potocnik
1977#hermann fröhlich#renate dietrich#johann ratheyser gerald hofegger#hilde kreulitsch renate dietrich#ernst stingl hilde kreulitsch
1978#johann ratheyser#elisabeth wieltschnig#johann ratheyser gerald hofegger#elisabeth wieltschnig brigitte reichmann#gerald hofegger hilde kreulitsch
1979#johann ratheyser#renate dietrich#johann ratheyser gerald hofegger#herta obritzhauser brigitte reichmann#johann ratheyser brigitte reichmann
1980#gerald hofegger#herta obritzhauser#johann ratheyser gerald hofegger#herta obritzhauser brigitte reichmann#johann ratheyser brigitte reichmann
1981#peter moritz#herta obritzhauser#johann ratheyser gerald hofegger#herta obritzhauser brigitte reichmann#alexander almer herta obritzhauser
1982#klaus fischer#herta obritzhauser#klaus fischer heinz fischer#elisabeth wieltschnig ingrid potocnik#alexander almer herta obritzhauser
1983#klaus fischer#herta obritzhauser#johann ratheyser gerald hofegger#elisabeth wieltschnig ingrid potocnik#alexander almer herta obritzhauser
1984#klaus fischer#herta obritzhauser#johann ratheyser gerald hofegger#herta obritzhauser brigitte wastl#alexander almer herta obritzhauser
1985#klaus fischer#herta obritzhauser#klaus fischer heinz fischer#elisabeth wieltschnig hilde kreulitsch#alexander almer herta obritzhauser
1986#heinz fischer#herta obritzhauser#klaus fischer heinz fischer#herta obritzhauser brigitte wastl#alexander almer herta obritzhauser
1987#tariq farooq#sabine ploner#klaus fischer heinz fischer#sabine ploner gabriele kumpfmüller#heinz fischer elisabeth wieltschnig
1988#klaus fischer#sabine ploner#klaus fischer heinz fischer#sabine ploner gabriele kumpfmüller#klaus fischer sabine ploner
1989#klaus fischer#sabine ploner#klaus fischer heinz fischer#sabine ploner brigitte wastl#klaus fischer sabine ploner
1990#jürgen koch#sabine ploner#jürgen koch hannes fuchs#sabine ploner sigrun ploner#klaus fischer sabine ploner
1991#jürgen koch#sabine ploner#jürgen koch harald koch#sabine ploner sigrun ploner#heinz fischer sabine ploner
1992#hannes fuchs#sabine ploner#hannes fuchs heimo götschl#sabine ploner sigrun ploner#heinz fischer sabine ploner
1993#hannes fuchs#sigrun ploner#jürgen koch harald koch#sabine ploner sigrun ploner#heinz fischer sabine ploner
1994#hannes fuchs#irina serova#jürgen koch harald koch#sabine ploner sigrun ploner#vladimir serov irina serova
1995#jürgen koch#verena fastenbauer#heimo götschl kai abraham#sabine ploner sigrun ploner#kai abraham sigrun ploner
1996#peter kreulitsch#verena fastenbauer#heimo götschl harald koch#sabine ploner verena fastenbauer#heinz fischer sabine ploner
1997#jürgen koch#verena fastenbauer#jürgen koch harald koch#bettina weilguni irina serova#jürgen koch irina serova
1998#jürgen koch#irina serova#heimo götschl kai abraham#bettina weilguni irina serova#harald koch bettina weilguni
1999#jürgen koch#irina serova#jürgen koch harald koch#bettina weilguni irina serova#harald koch bettina weilguni
2000#jürgen koch#simone prutsch#jürgen koch harald koch#bettina weilguni irina serova#harald koch bettina weilguni
2001#jürgen koch#simone prutsch#jürgen koch harald koch#bettina weilguni irina serova#harald koch bettina weilguni
2002#jürgen koch#verena fastenbauer#jürgen koch harald koch#simone prutsch sabine franz#harald koch bettina weilguni
2003#jürgen koch#simone prutsch#heimo götschl martin de jonge#simone prutsch sabine franz#michael lahnsteiner verena fastenbauer
2004#jürgen koch#simone prutsch#heimo götschl martin de jonge#simone prutsch sabine franz#harald koch verena fastenbauer
2005#jürgen koch#simone prutsch#harald koch peter zauner#simone prutsch sabine franz#michael lahnsteiner tina riedel
2006#peter zauner#simone prutsch#harald koch peter zauner#simone prutsch sabine franz#michael lahnsteiner tina riedl
2007#jürgen koch#simone prutsch#heimo götschl manuel berger#miriam gruber tina riedl#michael lahnsteiner tina riedl
2008#jürgen koch#miriam gruber#harald koch peter zauner#iris freimüller karina lengauer#roman zirnwald tina riedl
2009#peter zauner#miriam gruber#jürgen koch peter zauner#belinda heber elisabeth baldauf#jürgen koch zhu niannian
2010#michael lahnsteiner#claudia mayer#jürgen koch peter zauner#iris freimüller tina riedl#jürgen koch zhu niannian
