name#party#province (division)#date appointed#appointed by#left office
willie adams#liberal#nunavut#april 5 , 1977#trudeau#incumbent
raynell andreychuk#conservative#saskatchewan#march 11 , 1993#mulroney#incumbent
w. david angus#conservative#québec (alma)#june 10 , 1993#mulroney#incumbent
norman atkins#progressive conservative#ontario (markham)#july 2 , 1986#mulroney#incumbent
jack austin#liberal#british columbia ( vancouver south)#august 19 , 1975#trudeau#march 2 , 2007
lise bacon#liberal#québec (de la durantaye)#september 15 , 1994#chrétien#incumbent
george baker#liberal#newfoundland and labrador#march 26 , 2002#chrétien#incumbent
tommy banks#liberal#alberta ( edmonton )#april 7 , 2000#chrétien#incumbent
marisa ferretti barth#liberal#québec (repentigny)#september 23 , 1997#chrétien#april 28 , 2006
michel biron#liberal#québec (mille isles)#october 4 , 2001#chrétien#incumbent
john g. bryden#liberal#new brunswick#november 23 , 1994#chrétien#incumbent
john maclellan buchanan#conservative#nova scotia ( halifax )#september 12 , 1990#mulroney#april 22 , 2006
catherine callbeck#liberal#prince edward island#september 23 , 1997#chrétien#incumbent
larry campbell#liberal#british columbia ( vancouver )#august 2 , 2005#martin#incumbent
patricia carney#conservative#british columbia#august 30 , 1990#mulroney#january 31 , 2008
sharon carstairs#liberal#manitoba#september 15 , 1994#chrétien#incumbent
andrée champagne#conservative#quebec (grandville)#august 2 , 2005#martin#incumbent
maria chaput#liberal#manitoba#december 12 , 2002#chrétien#incumbent
ione jean christensen#liberal#yukon#september 2 , 1999#chrétien#december 31 , 2006
ethel m. cochrane#conservative#newfoundland and labrador#november 17 , 1986#mulroney#incumbent
gerald j. comeau#conservative#nova scotia#august 30 , 1990#mulroney#incumbent
joan cook#liberal#newfoundland and labrador#march 6 , 1998#chrétien#incumbent
anne claire cools#conservative#ontario (toronto - centre - york)#january 13 , 1984#trudeau#incumbent
eymard georges corbin#liberal#new brunswick (grand - sault)#july 9 , 1984#turner#incumbent
jane marie cordy#liberal#nova scotia#june 9 , 2000#chrétien#incumbent
jim cowan#liberal#nova scotia (halifax)#march 24 , 2005#martin#incumbent
roméo dallaire#liberal#quebec (gulf)#march 24 , 2005#martin#incumbent
dennis dawson#liberal#quebec (lauzon)#august 2 , 2005#martin#incumbent
joseph a. day#liberal#new brunswick (saint john - kennebecasis)#october 4 , 2001#chrétien#incumbent
pierre de bané#liberal#québec (de la vallière)#june 29 , 1984#trudeau#incumbent
consiglio di nino#conservative#ontario#august 30 , 1990#mulroney#incumbent
percy downe#liberal#prince edward island (charlottetown)#june 26 , 2003#chrétien#incumbent
lillian dyck#new democratic party#saskatchewan (north battleford)#march 24 , 2005#martin#incumbent
art eggleton#liberal#ontario (toronto)#march 24 , 2005#martin#incumbent
john trevor eyton#conservative#ontario#september 23 , 1990#mulroney#incumbent
joyce fairbairn#liberal#alberta (lethbridge)#june 29 , 1984#trudeau#incumbent
d. ross fitzpatrick#liberal#british columbia (okanagan - similkameen)#march 6 , 1998#chrétien#february 4 , 2008
michael forrestall#conservative#nova scotia (dartmouth / eastern shore)#september 27 , 1990#mulroney#june 8 , 2006
francis fox#liberal#québec (rigaud)#august 29 , 2005#martin#incumbent
joan fraser#liberal#québec (de lorimier)#september 17 , 1998#chrétien#incumbent
george furey#liberal#newfoundland and labrador#august 11 , 1999#chrétien#incumbent
aurélien gill#liberal#québec (wellington)#september 17 , 1998#chrétien#august 26 , 2008
yoine goldstein#liberal#québec (rigaud)#august 29 , 2005#martin#incumbent
jerry grafstein#liberal#ontario (metro toronto)#january 13 , 1984#trudeau#incumbent
leonard joe gustafson#conservative#saskatchewan#may 26 , 1993#mulroney#incumbent
mac harb#liberal#ontario#september 9 , 2003#chrétien#incumbent
daniel philip hays 3#liberal#alberta (calgary)#june 29 , 1984#trudeau#june 30 , 2007
céline hervieux - payette 4#liberal#québec (bedford)#march 21 , 1995#chrétien#incumbent
libbe hubley#liberal#prince edward island#march 8 , 2001#chrétien#incumbent
mobina jaffer#liberal#british columbia#june 13 , 2001#chrétien#incumbent
janis gudrun johnson#conservative#manitoba (winnipeg - interlake)#september 27 , 1990#mulroney#incumbent
serge joyal#liberal#québec (kennebec)#november 26 , 1997#chrétien#incumbent
colin kenny#liberal#ontario (rideau)#june 29 , 1984#trudeau#incumbent
wilbert joseph keon#conservative#ontario (ottawa)#september 27 , 1990#mulroney#incumbent
noël a. kinsella#conservative#new brunswick (fredericton - york - sunbury)#september 12 , 1990#mulroney#incumbent
michael j. l. kirby#liberal#nova scotia (south shore)#january 13 , 1984#trudeau#october 31 , 2006
jean lapointe#liberal#québec ( saurel )#june 13 , 2001#chrétien#incumbent
raymond lavigne#liberal#québec ( montarville )#march 26 , 2002#chrétien#incumbent
marjory lebreton#conservative#ontario#june 18 , 1993#mulroney#incumbent
rose - marie losier - cool#liberal#new brunswick (tracadie)#march 21 , 1995#chrétien#incumbent
sandra lovelace nicholas#liberal#new brunswick#september 21 , 2005#martin#incumbent
shirley maheu#liberal#québec (rougemont)#february 1 , 1996#chrétien#february 1 , 2006
francis william mahovlich#liberal#ontario#june 11 , 1998#chrétien#incumbent
paul j. massicotte#liberal#québec (de lanaudière)#june 26 , 2003#chrétien#incumbent
elaine mccoy#progressive conservative#alberta (calgary)#march 24 , 2005#martin#incumbent
michael arthur meighen#conservative#ontario (st. marys)#september 27 , 1990#mulroney#february 6 , 2012
terry m. mercer#liberal#nova scotia (northend halifax)#november 7 , 2003#chrétien#incumbent
pana merchant#liberal#saskatchewan#december 12 , 2002#chrétien#incumbent
lorna ann milne#liberal#ontario (peel county)#september 22 , 1995#chrétien#incumbent
grant mitchell#liberal#alberta (edmonton)#march 24 , 2005#martin#incumbent
wilfred p. moore#liberal#nova scotia (stanhope st. / bluenose)#september 26 , 1996#chrétien#incumbent
jim munson#liberal#ontario (ottawa / rideau canal)#december 10 , 2003#chrétien#incumbent
lowell murray#progressive conservative#ontario (pakenham)#september 13 , 1979#clark#incumbent
pierre claude nolin#conservative#québec (de salaberry)#june 18 , 1993#mulroney#incumbent
donald h. oliver#conservative#nova scotia#september 7 , 1990#mulroney#incumbent
lucie pépin#liberal#québec (shawinigan)#april 8 , 1997#chrétien#incumbent
robert peterson#liberal#saskatchewan (regina)#march 24 , 2005#martin#incumbent
gerard phalen#liberal#nova scotia#october 4 , 2001#chrétien#incumbent
peter michael pitfield#independent#ontario (ottawa - vanier)#december 22 , 1982#trudeau#incumbent
madeleine plamondon#independent#québec (the laurentides)#september 9 , 2003#chrétien#september 21 , 2006
marie - paule poulin#liberal#ontario#september 22 , 1995#chrétien#incumbent
vivienne poy#liberal#ontario (toronto)#september 17 , 1998#chrétien#incumbent
marcel prud'homme#independent#québec (la salle)#may 26 , 1993#mulroney#incumbent
pierrette ringuette#liberal#new brunswick#december 12 , 2002#chrétien#incumbent
jean - claude rivest#independent#québec (stadacona)#march 11 , 1993#mulroney#incumbent
fernand robichaud#liberal#new brunswick (saint louis de kent)#september 23 , 1997#chrétien#incumbent
william h. rompkey#liberal#newfoundland and labrador (north west river)#september 22 , 1995#chrétien#incumbent
nancy ruth#progressive conservative#ontario (toronto)#march 24 , 2005#martin#incumbent
hugh segal#conservative#ontario (kingston)#august 2 , 2005#martin#incumbent
nick sibbeston#liberal#northwest territories#september 2 , 1999#chrétien#incumbent
david paul smith#liberal#ontario (cobourg)#june 25 , 2002#chrétien#incumbent
mira spivak#independent#manitoba (manitoba)#november 17 , 1986#mulroney#incumbent
