date#opponent#score#attendance#record
june 1#braves#13 - 4#24349#33 - 16
june 3#astros#4 - 2#8320#34 - 16
june 4#astros#5 - 4#13360#35 - 16
june 6#reds#14 - 8#22185#36 - 16
june 7#reds#5 - 5#25514#36 - 16
june 9#reds#4 - 1#14879#36 - 17
june 10#braves#3 - 1#27007#37 - 17
june 11#braves#5 - 1#28707#37 - 18
june 12#braves#12 - 6#27671#38 - 18
june 13#reds#14 - 8 10#17134#39 - 18
june 14#reds#9 - 8 10#16008#40 - 18
june 15#reds#7 - 6#0#40 - 19
june 15#reds#5 - 4#26511#41 - 19
june 16#pirates#9 - 8#8810#41 - 20
june 17#pirates#1 - 0#0#41 - 21
june 17#pirates#4 - 3#26817#41 - 22
june 18#pirates#3 - 2 10#12198#41 - 23
june 20#expos#2 - 0#18890#42 - 23
june 21#expos#3 - 2#33750#42 - 24
june 22#expos#7 - 6#0#43 - 24
june 22#expos#5 - 4 6#22079#43 - 25
june 23#pirates#5 - 4#12500#44 - 25
june 24#pirates#3 - 2#17530#45 - 25
june 25#pirates#5 - 2#26434#46 - 25
june 26#pirates#7 - 5 10#29473#47 - 25
june 27#cardinals#3 - 1#29224#47 - 26
june 28#cardinals#3 - 1#29285#48 - 26
june 29#cardinals#3 - 1#0#49 - 26
june 29#cardinals#12 - 1#41060#50 - 26
june 30#expos#5 - 2#12508#50 - 27
