position#club#played#points#wins#draws#losses#goals for#goals against#goal difference
1#cd málaga#38#54 + 16#22#10#6#74#39#+ 35
2#elche cf#38#50 + 12#21#8#9#62#34#+ 28
3#castilla cf 1#38#48 + 10#18#12#8#58#42#+ 16
4#real oviedo#38#45 + 7#19#7#12#58#37#+ 21
5#rayo vallecano#38#45 + 7#18#9#11#58#47#+ 11
6#ue lleida#38#42 + 4#15#12#11#53#37#+ 16
7#ue figueres#38#42 + 4#14#14#10#44#36#+ 8
8#barcelona atlètic#38#41 + 3#14#13#11#52#47#+ 5
9#xerez cd#38#41 + 3#17#7#14#49#37#+ 12
10#sestao#38#37 - 1#15#7#16#42#45#- 3
11#cd castellón#38#37 - 1#12#13#13#34#45#- 11
12#cd tenerife#38#36 - 2#13#10#15#48#57#- 9
13#real burgos#38#34 - 4#11#12#15#34#50#- 16
14#racing de santander#38#33 - 5#11#11#16#35#47#- 12
15#recreativo de huelva#38#33 - 5#12#9#17#55#71#- 16
16#deportivo de la coruña#38#31 - 7#8#15#15#35#47#- 12
17#bilbao athletic#38#31 - 7#11#9#18#44#53#- 9
18#hércules cf#38#29 - 9#10#9#19#46#56#- 10
19#granada cf#38#27 - 11#8#11#19#36#46#- 10
20#cartagena fc#38#24 - 14#8#8#22#35#79#- 44
