call sign#frequency mhz#city of license#erp w#class#fcc info
k201er#88.1#holbrook , arizona#50#d#fcc
k210dv#89.9#de queen , arkansas#250#d#fcc
w206bm#89.1#alma , georgia#55#d#fcc
w266bh#101.1#buford , georgia#27#d#fcc
w206bt#89.1#douglas , georgia#120#d#fcc
w206bp#89.1#dublin , georgia#38#d#fcc
w208be#89.5#tallapoosa , georgia#10#d#fcc
k246bh#97.1#burley , idaho#250#d#fcc
k208fb#89.5#burley , idaho#140#d#fcc
k205ez#88.9#boone , iowa#185#d#fcc
w203bi#88.5#bowling green , kentucky#10#d#fcc
k208ew#89.5#lovelock , nevada#250#d#fcc
k205ex#88.9#clovis , new mexico#60#d#fcc
k219dr#91.7#clovis , new mexico#98#d#fcc
k204db#88.7#portales , new mexico#250#d#fcc
k204fh#88.7#brookings , south dakota#44#d#fcc
k206dq#89.1#yankton , south dakota#45#d#fcc
k219kt#91.7#omak , washington#4#d#fcc
k272ec#102.3#walla walla , washington#115#d#fcc
k213el#90.5#laramie , wyoming#13#d#fcc
