number#opponent#box score#points#fgm - fga#3 pm - 3pa#ftm - fta#assists#rebounds#steals#blocks
1#washington wizards#w 97 - 96#41#16 - 28#3 - 5#6 - 9#3#5#2#0
2#washington wizards#w 121 - 120#45#14 - 23#0 - 1#17 - 19#6#7#2#0
3#detroit pistons#w 109 - 107#48#18 - 33#2 - 3#10 - 14#7#9#2#0
4#boston celtics#l 92 - 97#45#14 - 29#3 - 11#14 - 19#6#5#2#0
5#atlanta hawks#w 97 - 82#47#15 - 25#5 - 10#12 - 16#8#12#1#1
6#orlando magic#l 106 - 107#49#20 - 30#3 - 6#6 - 10#8#6#2#3
7#orlando magic#l 89 - 99#41#11 - 28#1 - 8#18 - 24#9#7#2#1
8#orlando magic#l 114 - 116#44#13 - 29#4 - 10#14 - 18#7#12#1#1
9#chicago bulls#w 112 - 102#40#16 - 23#2 - 4#6 - 6#8#8#1#2
10#indiana pacers#w 101 - 93#40#14 - 27#0 - 0#12 - 16#9#18#2#2
11#boston celtics#w 98 - 79#45#19 - 26#2 - 4#5 - 9#5#15#0#0
