position#club#games played#wins#draws#loses#goals scored#goals conceded#points
1#nafta mažeikiai#20#15#5#0#71#20#50
2#širvėna biržai#20#13#6#1#49#19#45
3#mastis telšiai#20#13#3#4#77#19#42
4#gintaras palanga#20#9#2#9#54#32#29
5#atlantas - 2 klaipėda#20#7#7#6#40#28#28
6#juventa - 99 šiauliai#20#7#6#7#27#31#27
7#sakalas - 2 šiauliai#20#7#2#11#26#39#23
8#venta kuršėnai#20#6#4#10#36#62#22
9#kruoja pakruojis#20#6#2#12#28#47#20
10#fk akmenė#20#2#5#13#17#68#11
11#fk pasvalys#20#2#4#14#26#86#10
