date#opponent#score#attendance#record
april 1#colorado rockies#11 - 4#54820#1 - 0
april 2#colorado rockies#5 - 3#20210#2 - 0
april 3#colorado rockies#7 - 1#22660#2 - 1
april 4#florida marlins#9 - 7#25039#3 - 1
april 5#florida marlins#4 - 3#38598#3 - 2
april 6#florida marlins#3 - 2#36146#3 - 3
april 7#colorado rockies#13 - 2#48014#3 - 4
april 9#colorado rockies#13 - 4#50095#3 - 5
april 11#florida marlins#10 - 0#21240#3 - 6
12 april#florida marlins#2 - 1#21466#4 - 6
13 april#florida marlins#6 - 4#17687#5 - 6
14 april#atlanta braves#15 - 5#31427#5 - 7
15 april#atlanta braves#3 - 0#31962#5 - 8
16 april#atlanta braves#7 - 1#38411#5 - 9
17 april#pittsburgh pirates#3 - 2#6039#5 - 10
18 april#pittsburgh pirates#6 - 1#9082#6 - 10
19 april#pittsburgh pirates#6 - 5#11457#6 - 11
20 april#pittsburgh pirates#5 - 3#14542#6 - 12
22 april#new york mets#7 - 2#14585#6 - 13
23 april#new york mets#10 - 2#26492#6 - 14
25 april#philadelphia phillies#10 - 7#22843#6 - 15
26 april#philadelphia phillies#10 - 2#27357#7 - 15
28 april#new york mets#15 - 2#15572#7 - 16
29 april#new york mets#3 - 1#17699#7 - 17
30 april#atlanta braves#12 - 3#18278#7 - 18
