heat#lane#name#nationality#time
5#4#rebecca soni#united states#2:22.17
6#4#leisel jones#australia#2:23.81
6#5#mirna jukić#austria#2:24.39
6#1#sara nordenstam#norway#2:24.47
4#6#rie kaneto#japan#2:24.62
5#5#megumi taneda#japan#2:24.75
4#5#annamay pierse#canada#2:25.01
4#4#yuliya yefimova#russia#2:25.07
5#7#suzaan van biljon#south africa#2:25.51
5#3#sally foster#australia#2:25.54
6#3#jung seul - ki#south korea#2:25.95
6#6#joline höstman#sweden#2:26.00
6#2#qi hui#china#2:26.16
5#2#anne poleska#germany#2:26.74
4#8#elise matthysen#belgium#2:27.04
4#1#jeong da - rae#south korea#2:27.28
3#7#inna kapishina#belarus#2:27.34
4#3#amanda beard#united states#2:27.70
2#2#siow yi ting#malaysia#2:27.80
4#2#olga detenyuk#russia#2:27.87
5#1#kirsty balfour#great britain#2:27.87
3#4#adriana marmolejo#mexico#2:28.10
6#8#yuliya pidlisna#ukraine#2:28.84
4#7#mireia belmonte garcía#spain#2:29.46
2#4#alia atkinson#jamaica#2:29.53
6#7#luo nan#china#2:29.67
3#1#katalin bor#hungary#2:29.95
3#2#sara el bekri#morocco#2:30.04
3#3#diana gomes#portugal#2:30.18
5#8#sophie de ronchi#france#2:30.93
2#7#marina kuč#montenegro#2:31.24
2#3#dilara buse günaydin#turkey#2:31.86
3#6#nađa higl#serbia#2:32.78
2#6#smiljana marinović#croatia#2:32.80
1#5#raminta dvariškytė#lithuania#2:33.32
2#5#nicolette teo#singapore#2:34.60
3#8#agustina de giovanni#argentina#2:34.94
3#5#angeliki exarchou#greece#2:36.83
1#3#noora laukkanen#finland#2:38.97
1#4#tatiane sakemi#brazil#2:39.13
5#6#sarah poewe#germany#dns
