res#record#opponent#method#event#round#time#location
loss#9 - 8 - 1#kazuhiro nakamura#decision (unanimous)#astra : yoshida 's farewell#3#5:00#tokyo , japan
win#9 - 7 - 1#satoshi ishii#decision (unanimous)#dynamite!! 2009#3#5:00#saitama , japan
loss#8 - 7 - 1#sanae kikuta#decision (split)#world victory road presents : sengoku no ran 2009#3#5:00#saitama , japan
win#8 - 6 - 1#maurice smith#submission (neck crank)#world victory road presents : sengoku 3#1#3:23#saitama , japan
loss#7 - 6 - 1#josh barnett#submission (heel hook)#world victory road presents : sengoku 1#3#3:23#tokyo , japan
loss#7 - 5 - 1#james thompson#tko (punches)#pride shockwave 2006#1#7:50#saitama , japan
loss#7 - 4 - 1#mirko filipović#tko (leg kicks)#pride critical countdown absolute#1#7:38#saitama , japan
win#7 - 3 - 1#yōsuke nishijima#submission (triangle choke)#pride total elimination absolute#1#2:33#osaka , japan
win#6 - 3 - 1#naoya ogawa#submission (armbar)#pride shockwave 2005#1#6:04#saitama , japan
win#5 - 3 - 1#tank abbott#submission (single wing choke)#pride final conflict 2005#1#7:40#saitama , japan
loss#4 - 3 - 1#wanderlei silva#decision (split)#pride total elimination 2005#3#5:00#osaka , japan
loss#4 - 2 - 1#rulon gardner#decision (unanimous)#pride shockwave 2004#3#5:00#saitama , japan
win#4 - 1 - 1#mark hunt#submission (armbar)#pride critical countdown 2004#1#5:25#saitama , japan
draw#3 - 1 - 1#royce gracie#draw (time limit)#pride shockwave 2003#2#10:00#saitama , japan
loss#3 - 1#wanderlei silva#decision (unanimous)#pride final conflict 2003#2#5:00#tokyo , japan
win#3 - 0#kiyoshi tamura#submission (ezekiel choke)#pride total elimination 2003#1#5:06#saitama , japan
win#2 - 0#masaaki satake#submission (neck lock)#inoki bom - ba - ye 2002#1#0:50#saitama , japan
win#1 - 0#don frye#technical submission (armbar)#pride 23#1#5:32#tokyo , japan
