no in series#no in season#title#directed by#written by#original air date
23#1#slime and punishment#robert berlinger#tom straw#september 19 , 1992
24#2#in my new country#robert berlinger#tom reeder#september 26 , 1992
25#3#inside information#robert berlinger#susan harris#october 3 , 1992
26#4#the bad boy in the plastic bubble#robert berlinger#boyd hale#october 10 , 1992
27#5#julie gets validated#robert berlinger#boyd hale#october 17 , 1992
28#6#annie 's choice#robert berlinger#danny smith#october 24 , 1992
29#7#playing doctor#robert berlinger#susan harris#october 31 , 1992
30#8#dirty laundry#robert berlinger#susan harris#november 7 , 1992
31#9#illicit transfers#robert berlinger#susan harris#november 14199
32#10#our fred#robert berlinger#susan beavers (story) , danny smith (teleplay)#november 21 , 1992
33#11#one pequeno , two pequeno#robert berlinger#tom straw#december 5 , 1992
34#12#solitary man#robert berlinger#tom reeder#december 12 , 1992
35#13#caught short#robert berlinger#tom reeder#january 2 , 1993
36#14#if i were a rich man#robert berlinger#susan harris#january 9 , 1993
37#15#gropes of wrath#robert berlinger#susan harris#january 16 , 1993
38#16#super bowl#lax passaris#susan harris#january 30 , 1993
39#17#the devil and the deep blue sea#gil junger#danny smith#february 6 , 1993
40#18#love and death#robert berlinger#boyd hale#february 13 , 1993
41#19#family outing#lax passaris#michael davidoff , bill rosenthal#february 20 , 1993
42#20#when hank met gina#peter d beyt#steve elkins#february 27 , 1993
43#21#sting of hearts#gil junger#danny smith#april 3 , 1993
44#22#what are friends for#peter beyt#mark nutter#april 10 , 1993
40#23#smokin' in the boys room#robert berlinger#boyd hale#may 1 , 1993
46#24#jumpin' jack flash#tom straw#tom straw#may 1 , 1993
