week#date#opponent#result#game site
1#sunday september 20#new york giants#l 23 - 2#forbes field
2#sunday september 27#chicago cardinals#w 14 - 13#forbes field
3#sunday october 4#boston redskins#l 21 - 6#forbes field
4#sunday october 11#cincinnati reds#w 17 - 3#forbes field
5#sunday october 15#green bay packers#l 47 - 0#city stadium
6#sunday october 22#cincinnati reds#t 0 - 0#redland field
7#sunday october 29#boston redskins#w 16 - 14#fenway park
8#sunday november 5#brooklyn dodgers#t 3 - 3#ebbets field
9#sunday november 12#brooklyn dodgers#l 32 - 0#forbes field
10#sunday november 19#philadelphia eagles#l 25 - 6#baker bowl
11#sunday december 3#new york giants#l 27 - 3#polo grounds
