district#incumbent#party#elected#status
1#felix grucci#republican#2000#running
2#steve israel#democrat#2000#running
3#peter king#republican#1992#running
4#carolyn mccarthy#democrat#1996#running
5#gary ackerman#democrat#1983#running
6#gregory w meeks#democrat#1998#running
7#joseph crowley#democrat#1998#running
8#jerrold nadler#democrat#1992#running
9#anthony weiner#democrat#1998#running
10#ed towns#democrat#1982#running
11#major owens#democrat#1982#running
12#nydia velazquez#democrat#1992#running
13#vito fossella#republican#1997#running
14#carolyn maloney#democrat#1992#running
15#charles b rangel#democrat#1970#running
16#jose serrano#democrat#1990#running
17#eliot engel#democrat#1988#running
18#nita lowey#democrat#1988#running
19#sue kelly#republican#1994#running
20#john sweeney#republican#1998#running
21#mike mcnulty#democrat#1988#running
22#maurice hinchey#democrat#1992#running
23#john mchugh#republican#1992#running
24#sherwood boehlert#republican#1982#running
25#jim walsh#republican#1988#running
26#tom reynolds#republican#1998#running
27#jack quinn#republican#1992#running
28#louise slaughter#democrat#1986#running
29#amo houghton#republican#1986#retiring
