res#record#opponent#method#event#round#location
win#13 - 10 (1)#jared downing#submission (inverted heel hook)#bellator 104#1#cedar rapids , iowa , united states
win#12 - 10 (1)#savant young#submission (rear naked choke)#tpf 12: second coming#3#lemoore , california , united states
loss#11 - 10 (1)#justin salas#decision (unanimous)#full force fighting - vol 1#3#denver , colorado , united states
win#11 - 9 (1)#eric reynolds#decision (split)#art of fighting 10#3#estero , florida , united states
win#10 - 9 (1)#rodney rhoden#tko (punches)#pure combat 12 - champions for children#1#clovis , california , united states
loss#9 - 9 (1)#nik lentz#decision (unanimous)#ufc fight night : florian vs gomi#3#charlotte , north carolina , united states
win#9 - 8 (1)#phillipe nover#decision (unanimous)#ufc 109#3#las vegas , nevada , united states
loss#8 - 8 (1)#rafael dos anjos#decision (unanimous)#ufc 103#3#dallas , texas , united states
loss#8 - 7 (1)#kurt pellegrino#submission (rear naked choke)#ufc fight night : lauzon vs stephens#2#tampa , florida , united states
win#8 - 6 (1)#manny gamburyan#ko (punches)#ufc 87#1#minneapolis , minnesota , united states
win#7 - 6 (1)#keita nakamura#decision (split)#ufc 81#3#las vegas , nevada , united states
nc#6 - 6 (1)#gray maynard#no contest (double ko)#the ultimate fighter 5 finale#2#las vegas , nevada , united states
win#6 - 6#kenji arai#decision (unanimous)#pancrase - blow 6#3#yokohama , japan
win#5 - 6#takafumi ito#decision (unanimous)#pancrase - blow 4#3#tokyo , japan
win#4 - 6#jamie schmidt#tko#tc 13 - anarchy#2#del mar , california , united states
win#3 - 6#julian samaniego#tko#kotc - flash point#1#san jacinto , california , united states
loss#2 - 6#melvin guillard#decision (split)#rcf - cold hearted#3#biloxi , mississippi , united states
loss#2 - 5#randy velarde#decision (majority)#kotc - revenge#2#san jacinto , california , united states
win#2 - 4#joe camacho#decision (unanimous)#kotc - san jacinto#2#san jacinto , california , united states
win#1 - 4#justin berkley#submission (choke)#tc 3 - total combat 3#2#tijuana , mexico
loss#0 - 4#dokonjonosuke mishima#decision (unanimous)#deep - 14th impact#3#osaka , japan
loss#0 - 3#javier vazquez#decision (split)#shooto usa - warrior spirit : evolution#3#las vegas , nevada , united states
loss#0 - 2#jamal perkins#decision (unanimous)#kotc 19 - street fighter#2#san jacinto , california , united states
loss#0 - 1#jens pulver#decision#uw - ultimate wrestling#3#minneapolis , minnesota , united states
