outcome#date#tournament#surface#opponent#score
runner - up#august 1 , 1983#indianapolis#clay#andrea temesvári#2 - 6 , 2 - 6
runner - up#january 2 , 1984#washington#carpet (i)#hana mandlíková#1 - 6 , 1 - 6
runner - up#september 24 , 1984#new orleans#carpet (i)#martina navratilova#4 - 6 , 3 - 6
winner#october 29 , 1984#zürich#carpet (i)#claudia kohde - kilsch#6 - 1 , 0 - 6 , 6 - 2
runner - up#january 14 , 1985#denver#carpet (i)#peanut louie#4 - 6 , 6 - 4 , 4 - 6
winner#april 15 , 1985#amelia island#clay#chris evert - lloyd#6 - 4 , 6 - 3
runner - up#july 22 , 1985#indianapolis#clay#andrea temesvári#6 - 7 (0) , 3 - 6
winner#october 28 , 1985#zürich#carpet (i)#hana mandlíková#6 - 1 , 6 - 3
runner - up#september 15 , 1986#tampa#hard#lori mcneil#6 - 2 , 5 - 7 , 2 - 6
winner#october 27 , 1986#indianapolis#hard (i)#melissa gurney#6 - 3 , 6 - 3
winner#january 5 , 1987#sydney#grass#pam shriver#6 - 2 , 6 - 4
winner#february 9 , 1987#san francisco#carpet (i)#sylvia hanika#7 - 5 , 4 - 6 , 6 - 3
runner - up#august 17 , 1987#toronto#hard#pam shriver#4 - 6 , 1 - 6
runner - up#october 24 , 1988#indianapolis#hard (i)#katerina maleeva#3 - 6 , 6 - 2 , 2 - 6
runner - up#february 13 , 1989#washington#carpet (i)#steffi graf#1 - 6 , 5 - 7
winner#february 20 , 1989#oakland#carpet (i)#larisa savchenko#6 - 1 , 6 - 1
runner - up#june 12 , 1989#birmingham#grass#martina navratilova#6 - 7 (5) , 3 - 6
winner#july 17 , 1989#newport#grass#pam shriver#6 - 0 , 6 - 1
runner - up#july 31 , 1989#san diego#hard#steffi graf#4 - 6 , 5 - 7
runner - up#october 30 , 1989#worcester#carpet (i)#martina navratilova#2 - 6 , 3 - 6
winner#november 6 , 1989#chicago#carpet (i)#larisa savchenko#6 - 3 , 2 - 6 , 6 - 4
runner - up#february 19 , 1990#washington#carpet (i)#martina navratilova#1 - 6 , 0 - 6
winner#june 11 , 1990#birmingham#grass#helena suková#6 - 4 , 6 - 1
runner - up#june 25 , 1990#wimbledon#grass#martina navratilova#4 - 6 , 1 - 6
runner - up#october 22 , 1990#dorado#hard#jennifer capriati#7 - 5 , 4 - 6 , 2 - 6
runner - up#february 11 , 1991#chicago#carpet (i)#martina navratilova#1 - 6 , 2 - 6
runner - up#october 22 , 1991#brighton#carpet (i)#steffi graf#7 - 5 , 4 - 6 , 1 - 6
winner#february 17 , 1992#oklahoma city#hard (i)#lori mcneil#7 - 5 , 3 - 6 , 7 - 6 (10)
runner - up#april 13 , 1992#houston#clay#monica seles#1 - 6 , 1 - 6
winner#february 15 , 1993#oklahoma city#hard (i)#patty fendick#6 - 2 , 6 - 2
runner - up#june 7 , 1993#birmingham#grass#lori mcneil#4 - 6 , 6 - 2 , 3 - 6
runner - up#july 26 , 1993#stratton mountain#hard#conchita martínez#3 - 6 , 2 - 6
winner#october 18 , 1993#budapest#carpet (i)#sabine appelmans#7 - 5 , 6 - 2
runner - up#november 1 , 1993#oakland#carpet (i)#martina navratilova#2 - 6 , 6 - 7 (1)
runner - up#june 6 , 1994#birmingham#grass#lori mcneil#2 - 6 , 2 - 6
winner#june 12 , 1995#birmingham#grass#lori mcneil#6 - 3 , 6 - 3
