frequency#station#operator#language#genre
87.7 mhz#klasik nasional fm#rtm#malay#music
88.1 mhz#one fm#media prima#mandarin , cantonese#talk , music
88.5 mhz#nasional fm#rtm#malay#music
88.9 mhz#capital fm#star rfm radio#english#music
89.3 mhz#ai fm#rtm#mandarin , various chinese dialects#music , talk
89.9 mhz#bfm 89.9#bfm media#english#music , news , talk
90.3 mhz#traxx fm#rtm#english#music , talk
90.7 mhz#putra fm#universiti putra malaysia#malay , english#music , talk
91.1 mhz#asyik fm#rtm#jakun , semai , temiar#music , talk
91.5 mhz#ikimfm#institute of islamic studies malaysia#malay , english , arabic#music , talk
92.3 mhz#minnal fm#rtm#tamil#music , talk
92.9 mhz#hitzfm#amp radio networks#english#music , talk
93.6 mhz#ufm#universiti teknologi mara#english , malay#music , talk
93.9 mhz#radio24#bernama#malay , english#news , music
94.5 mhz#mix fm#amp radio networks#english#talk , music
95.3 mhz#nasional fm#rtm#malay#music
95.8 mhz#fly fm#media prima#english , malay#talk , music
96.3 mhz#minnal fm#rtm#tamil#talk , music
96.7 mhz#sinar fm#amp radio networks#malay#talk , music
97.2 mhz#klfm#rtm#malay#talk , music
97.6 mhz#hot fm#media prima#malay#talk , music
98.3 mhz#klasik nasional fm#rtm#malay#music
98.8 mhz#988 fm#star rfm radio#chinese (cantonese)#talk , music
99.3 mhz#thrfm (raaga)#amp radio networks#tamil#talk , music
100.1 mhz#traxx fm#rtm#english#talk , music
100.9 mhz#selangor fm#rtm#malay#talk , music
101.8 mhz#my fm#amp radio networks#chinese (cantonese)#talk , music
102.5 mhz#asyik fm and salam fm#rtm#orang asli#talk , music
103.0 mhz#melody fm#amp radio networks#chinese#music
103.3 mhz#era fm#amp radio networks#malay#talk , music
104.1 mhz#best 104#suara johor sdnbhd#malay#music
104.9 mhz#red fm#star rfm radio#english , malay#talk , music
105.3 mhz#suria fm#star rfm radio#malay#talk , music
105.7 mhz#litefm#amp radio networks#english#music
106.7 mhz#ai fm#rtm#chinese#talk , music
107.5 mhz#pahang fm#rtm#malay#talk , music
