game#december#opponent#score#record#points
24#1#tampa bay lightning#2 - 0#11 - 7 - 5 - 1#28
25#4#new york islanders#3 - 2#12 - 7 - 5 - 1#30
26#6#new york islanders#0 - 2#12 - 8 - 5 - 1#30
27#8#minnesota wild#5 - 1#13 - 8 - 5 - 1#32
28#10#atlanta thrashers#3 - 1#14 - 8 - 5 - 1#34
29#13#montreal canadiens#2 - 3#14 - 9 - 5 - 1#34
30#15#boston bruins#5 - 2#15 - 9 - 5 - 1#36
31#16#edmonton oilers#2 - 3#15 - 10 - 5 - 1#36
32#18#st louis blues#6 - 3#16 - 10 - 5 - 1#38
33#20#dallas stars#2 - 1#17 - 10 - 5 - 1#40
34#22#carolina hurricanes#4 - 3 ot#18 - 10 - 5 - 1#42
35#26#washington capitals#4 - 1#19 - 10 - 5 - 1#44
36#28#phoenix coyotes#2 - 4#19 - 11 - 5 - 1#44
37#29#colorado avalanche#5 - 2#20 - 11 - 5 - 1#46
38#31#vancouver canucks#2 - 1#21 - 11 - 5 - 1#48
