season#coach#conf record#overall#standings#postseason
1997 - 98#howie draper#none#3 - 1 - 0#does not apply#fifth , cis tournament
1998 - 99#howie draper#4 - 1 - 1#20 - 8 - 3#first#second , cis tournament
1999 - 00#howie draper#15 - 1 - 1#26 - 3 - 1#first#cis tournament champions
2000 - 01#howie draper#13 - 1 - 2#20 - 6 - 2#second#did not qualify
2001 - 02#howie draper#16 - 0 - 0#33 - 1 - 0#first#cis tournament champions
2002 - 03#howie draper#19 - 0 - 1#34 - 0 - 1#first#cis tournament champions
2003 - 04#howie draper#20 - 0 - 0#35 - 0 - 0#first#cis tournament champions
2004 - 05#howie draper#20 - 0 - 0#28 - 1 - 0#first#second , cis tournament
2005 - 06#howie draper#16 - 1 - 3#27 - 3 - 3#first#cis tournament champions
2006 - 07#howie draper#21 - 3 - 0#33 - 4 - 1#first#cis tournament champions
2007 - 08#howie draper#21 - 2 - 1#29 - 5 - 1#first#fourth , cis tournament
2008 - 09#howie draper#22 - 2 - 0#26 - 5 - 0#second#did not qualify
