#manager#years#wins#losses#wpct
1#jim manning#1901#61#73#455
2#tom loftus#1902 - 1903#104#169#381
3#malachi kittridge#1904#1#16#059
4#patsy donovan#1904#37#97#296
5#jake stahl#1905 - 1906#119#182#395
6#joe cantillon#1907 - 1909#158#297#347
7#jimmy mcaleer#1910 - 1911#130#175#426
8#clark griffith#1912 - 1920#693#646#518
9#george mcbride#1921#80#73#523
10#clyde milan#1922#69#85#448
11#donie bush#1923#75#78#490
12#bucky harris#1924 - 1928#429#334#562
13#walter johnson#1929 - 1932#350#264#570
14#joe cronin#1933 - 1934#165#139#543
-#bucky harris#1935 - 1942#558#663#457
15#ossie bluege#1943 - 1947#375#394#488
16#joe kuhel#1948 - 1949#106#201#345
-#bucky harris#1950 - 1954#349#419#454
17#chuck dressen#1955 - 1957#116#212#354
18#cookie lavagetto#1957 - 1961#271#384#414
19#sam mele#1961 - 1967#522#431#546
20#cal ermer#1967 - 1968#145#129#529
21#billy martin#1969#97#65#599
22#bill rigney#1970 - 1972#208#184#531
23#frank quilici#1972 - 1975#280#287#494
24#gene mauch#1976 - 1980#378#394#490
25#johnny goryl#1980 - 1981#34#38#472
26#billy gardner#1981 - 1985#268#353#278
27#ray miller#1985 - 1986#109#130#456
28#tom kelly §#1986 - 2001#1140#1244#478
29#ron gardenhire#2002 - present#803#656#550
