district#incumbent#2008 status#democratic#republican
1#gk butterfield#re - election#gk butterfield#dean stephens
2#bob etheridge#re - election#bob etheridge#dan mansell
3#walter b jones#re - election#craig weber#walter b jones
4#david price#re - election#david price#bj lawson
5#virginia foxx#re - election#roy carter#virginia foxx
6#howard coble#re - election#teresa sue bratton#howard coble
7#mike mcintyre#re - election#mike mcintyre#will breazeale
8#robin hayes#defeated#larry kissell#robin hayes
9#sue myrick#re - election#harry taylor#sue myrick
10#patrick mchenry#re - election#daniel johnson#patrick mchenry
11#heath shuler#re - election#heath shuler#carl mumpower
12#mel watt#re - election#mel watt#ty cobb , jr
13#brad miller#re - election#brad miller#hugh webster
