locale#skip#ends won#ends lost#blank ends#stolen ends#shot pct
sweden#anette norberg#56#39#11#25#75%
united states#cassandra johnson#53#38#13#22#76%
canada#jennifer jones#48#45#3#21#68%
norway#dordi nordby#46#40#11#19#72%
russia#olga jarkova#47#45#17#10#70%
scotland#kelly wood#53#40#6#23#69%
china#wang bingyu#42#45#14#13#68%
switzerland#mirjam ott#45#48#11#13#72%
japan#ayumi onodera#41#48#8#12#66%
denmark#madeleine dupont#36#50#10#12#63%
italy#diana gaspari#39#46#7#12#65%
finland#kirsi nykã¤nen#32#55#3#9#58%
