date#city#country#venue#tickets available since#attendance#comment
may 2 , 2009#nice#france#palais nikaia#may 23 , 2008#9000#sold out
may 3 , 2009#nice#france#palais nikaia#june 11 , 2008#9000#sold out
may 5 , 2009#clermont - ferrand#france#zénith#may 23 , 2008#8500#sold out
may 6 , 2009#clermont - ferrand#france#zénith#may 23 , 2008#8500#sold out
may 9 , 2009#marseille#france#dôme de marseille#may 23 , 2008#8500#sold out
may 10 , 2009#marseille#france#dôme de marseille#may 23 , 2008#8500#sold out
may 12 , 2009#marseille#france#dôme de marseille#june 6 , 2008#8500#sold out
may 15 , 2009#toulouse#france#zénith#may 23 , 2008#9000#sold out
may 16 , 2009#toulouse#france#zénith#may 23 , 2008#9000#sold out
may 18 , 2009#toulouse#france#zénith#may 23 , 2008#9000#sold out
may 19 , 2009#toulouse#france#zénith#september 15 , 2008#9000#sold out
may 23 , 2009#nantes#france#zénith#may 23 , 2008#8500#sold out
may 24 , 2009#nantes#france#zénith#may 23 , 2008#8500#sold out
may 26 , 2009#nantes#france#zénith#may 23 , 2008#8500#sold out
may 27 , 2009#nantes#france#zénith#september 23 , 2008#8500#sold out
may 30 , 2009#rouen#france#zénith#may 23 , 2008#8000#sold out
may 31 , 2009#rouen#france#zénith#may 23 , 2008#8000#sold out
june 2 , 2009#rouen#france#zénith#may 27 , 2008#8000#sold out
june 5 , 2009#strasbourg#france#zénith#may 23 , 2008#10000#sold out
june 6 , 2009#strasbourg#france#zénith#june 10 , 2008#10000#sold out
june 8 , 2009#dijon#france#zénith#may 23 , 2008#7800#sold out
june 9 , 2009#dijon#france#zénith#may 23 , 2008#7800#sold out
june 12 , 2009#lyon#france#halle tony garnier#may 23 , 2008#12000#sold out
june 13 , 2009#lyon#france#halle tony garnier#may 23 , 2008#12000#sold out
june 15 , 2009#lyon#france#halle tony garnier#september 23 , 2008#12000#sold out
june 17 , 2009#amnéville#france#galaxie amnéville#january 30 , 2009#11000#sold out
june 19 , 2009#douai#france#gayant expo#june 27 , 2008#11500#sold out
june 20 , 2009#douai#france#gayant expo#june 27 , 2008#11500#sold out
june 22 , 2009#douai#france#gayant expo#september 24 , 2008#11500#sold out
june 28 , 2009#saint petersburg#russia#skk#february 16 , 2009#15000#sold out
july 1 , 2009#moscow#russia#olimpiysky#february 16 , 2009#25000#sold out
september 4 , 2009#geneva#switzerland#stade de genève#march 28 , 2008#32000#sold out
september 5 , 2009#geneva#switzerland#stade de genève#april 7 , 2008#32000#sold out
september 11 , 2009#paris#france#stade de france#april 1 , 2008#80000#sold out (2 hours)
september 12 , 2009#paris#france#stade de france#march 28 , 2008#80000#sold out (1 hour ¼)
september 19 , 2009#brussels#belgium#king baudouin stadium#april 26 , 2008#50000#sold out
