year#champion#country#score#purse#winner 's share
2007#taylor leon#united states#203 (13)#80000#11200
2006#kristy mcpherson#united states#207 (9)#75000#10500
2005#sun young yoo#south korea#204 (12)#70000#9800
2004#jimin kang#south korea#209 (8)#70000#9800
2003#reilley rankin#united states#134 (10)#70000#9800
2002#lorena ochoa#mexico#207 (9)#70000#9800
2001#jenn brody#united states#202 (14)#75000#10500
2000#heather zakhar#united states#206 (10)#75000#10500
1999#grace park#south korea#200 (16)#75000#10500
1998#aj eathorne#canada#206 (10)#70000#9700
1997#becky iverson#united states#282 (6)#70000#9700
1996#erika wicoff#united states#212 (4)#65000#9750
1995#patty ehrhart#united states#210 (6)#65000#9750
1994#tina paternostro#united states#214 (2)#50000#6800
1993#missy tuck#united states#216 (e)#50000#6800
1992#chela quintana#venezuela#220 ( + 4)#20000#2600
