name#position#height#weight (lbs)#born#college#drafted
walter clago#e#6'0#195#6 / / 1899 detroit , mi#detroit#undrafted
darris mccord#de / dt / oe#6'6#250#january 4 , 1933 detroit , mi#tennessee#1955 , r3 , p11
ben john paolucci#dt#6'2#240#march 5 , 1937 cleveland , oh#wayne state#undrafted
arnie simkus#de / dt#6'4#245#march 25 , 1943 schlava , ger#michigan#1965 , r6 , p2
david boone , jr#de#6'3#248#october 30 , 1951 detroit , mi#eastern mich#1974 , r11 , p11
aaron kyle#cb / s#5'11#185#april 6 , 1954 detroit , mi#wyoming#1976 , r1 , p26
tom seabron#lb#6'3#215#may 24 , 1957 baltimore , md#michigan#1979 , r5 , p1
harlan huckleby#rb#6'1#200#december 30 , 1957 detroit , mi#michigan#1979 , r5 , p1
curtis greer#de#6'4#256#november 10 , 1957 detroit , mi#michigan#1976 , r1 , p6
guy frazier#lb#6'2#217#july 20 , 1959 detroit , mi#wyoming#1981 , r4 , p10
thomas sidney sims#dt / nt#6'2#288#april 18 , 1967 detroit , mi#pittsburgh#1990 , r6 , p14
pat ivey#de#6'4#255#december 27 , 1972 detroit , mi#mizzou#undrafted
a j ofodile#te#6'7#260#october 9 , 1973 detroit , mi#mizzou#1994 , r5 , p25
clarence williams#rb#5'9#193#may 16 , 1977 detroit , mi#michigan#undrafted
vernon gholston#de#6'3#264#june 5 , 1986 detroit , mi#ohio state#2008 , r1 , p6
joseph barksdale#ot#6'4#325#january 1 , 1989 detroit , mi#lsu#2011 , r3 , p12
will campbell#og#6'4#311#july 6 , 1991 detroit , mi#michigan#2013 , r6 , p10
