episode#date#official rating 4 +#share 4 +#official rating 16 - 39#share 16 - 39
1#8 march 2009#4 319 529#25 , 14%#1 949 470#24 , 34%
2#15 march 2009#4 149 096#24 , 51%#1 802 285#23 , 22%
3#22 march 2009#4 136 099#23 , 66%#1 837 412#22 , 51%
4#29 march 2009#4 091 280#24 , 12%#1 708 393#22 , 56%
5#5 april 2009#3 916 182#22 , 99%#1 567 220#20 , 67%
6#12 april 2009#3 080 254#19 , 98%#1 217 633#18 , 33%
7#19 april 2009#3 644 024#21 , 58%#1 474 258#19 , 83%
8#26 april 2009#3 224 559#20 , 06%#1 326 068#18 , 83%
9#3 may 2009#3 421 426#21 , 63%#1 325 175#19 , 08%
10#10 may 2009#3 484 505#21 , 84%#1 437 254#21 , 04%
11#17 may 2009#3 852 979#25 , 46%#1 535 730#23 , 58%
