series#episode title#writer (s)#director#us viewers (millions)#original air date
1#pilot#silvio horta#richard shepard#16.32#september 28 , 2006
2#the box and the bunny#silvio horta#sheree folkson#14.26#october 5 , 2006
3#queens for a day#marco pennette#james hayman#13.95#october 12 , 2006
4#fey 's sleigh ride#sheila lawrence#tricia brock#13.17#october 19 , 2006
5#the lyin' , the watch and the wardrobe#donald todd#rodman flender#13.14#october 26 , 2006
6#trust , lust , and must#cameron litvack#jamie babbit#13.62#november 2 , 2006
7#after hours#dailyn rodriguez#james hayman#12.81#november 9 , 2006
8#four thanksgivings and a funeral#marco pennette#sarah pia anderson#12.95#november 16 , 2006
9#lose the boss#oliver goldstick#ken whittingham#8.74#november 23 , 2006
10#fake plastic snow#veronica becker & sarah kucserka#james hayman#13.02#november 30 , 2006
11#swag#james d parriott#tamra davis#11.65#january 4 , 2007
12#sofia 's choice#silvio horta#james hayman#13.49#january 11 , 2007
13#in or out#myra jo martino#michael spiller#14.10#january 18 , 2007
14#i'm coming out#james d parriott#wendey stanzler#14.00#february 1 , 2007
15#brothers#shelia lawrence#lev l spiro#14.27#february 8 , 2007
16#derailed#cameron litvack#james hayman#13.66#february 15 , 2007
17#icing on the cake#dailyn rodriguez#jeff melman#10.80#march 15 , 2007
18#don't ask , don't tell#sarah kucserka , veronica becker & marco pennette#tricia brock#10.41#march 22 , 2007
19#punch out#oliver goldstick#miguel arteta#9.46#april 19 , 2007
20#petra - gate#harry werksman & gabrielle stanton#paul lazarus#9.62#april 26 , 2007
21#secretaries' day#henry alonso myers#victor nelli , jr#10.68#may 3 , 2007
22#a tree grows in guadalajara#tracy poust & jon kinnally#lev l spiro#9.63#may 10 , 2007
