club#played#won#drawn#lost#points for#points against#points difference#points
club#played#won#drawn#lost#points for#points against#points difference#points
neath rfc#30#28#0#2#1070#421#+ 649#84
bridgend ravens#30#23#0#7#709#587#+ 122#69
pontypridd rfc#30#21#0#9#788#560#+ 228#63
aberavon rfc#30#19#0#11#748#596#+ 152#57
newport rfc#30#19#0#11#623#610#+ 13#57
llanelli rfc#30#18#0#12#589#599#- 10#54
swansea rfc#30#16#1#14#849#713#+ 136#48
bedwas rfc#30#12#2#16#562#702#- 140#38
cross keys rfc#30#12#2#18#513#608#- 95#36
cardiff rfc#30#11#1#19#646#726#- 80#33
glamorgan wanderers rfc#30#10#2#18#607#738#- 131#32
ebbw vale rfc#30#10#1#19#583#686#- 103#31
llandovery rfc#30#10#0#20#597#692#- 95#30
maesteg rfc#30#9#1#20#573#785#- 212#28
carmarthen quins rfc#30#9#1#20#546#821#- 275#28
pontypool rfc#30#8#3#19#473#632#- 159#27
