week#opponent#result#stadium#record#attendance
1#new york jets#w : 38 - 14#fenway park#1 - 0 - 0#24120
2#san diego chargers#l : 17 - 13#balboa stadium#1 - 1 - 0#26097
3#oakland raiders#w : 20 - 14#frank youell field#2 - 1 - 0#17131
4#denver broncos#l : 14 - 10#mile high stadium#2 - 2 - 0#18636
5#new york jets#l : 31 - 24#polo grounds#2 - 3 - 0#16769
6#oakland raiders#w : 20 - 14#fenway park#3 - 3 - 0#26494
7#denver broncos#w : 40 - 21#fenway park#4 - 3 - 0#25418
8#buffalo bills#l : 28 - 21#war memorial stadium#4 - 4 - 0#29243
9#houston oilers#w : 45 - 3#fenway park#5 - 4 - 0#31185
10#san diego chargers#l : 7 - 6#fenway park#5 - 5 - 0#28402
11#kansas city chiefs#t : 24 - 24#fenway park#5 - 5 - 1#17200
12#bye week#bye week#bye week#bye week#bye week
13#buffalo bills#w : 17 - 7#fenway park#6 - 5 - 1#16981
14#houston oilers#w : 46 - 28#jeppesen stadium#7 - 5 - 1#23462
15#kansas city chiefs#l : 35 - 3#municipal stadium#7 - 6 - 1#12598
