call sign#frequency mhz#city of license#erp w#class#fcc info
k208dq#89.5#almont , colorado#16#d#fcc
k220im#91.9#brush , colorado#250#d#fcc
k208ch#89.5#burlington , colorado#250#d#fcc
k210bg#90.1#canon city , colorado#250#d#fcc
k216es#91.1#cardiff , colorado#14#d#fcc
k290ak#105.9#colorado springs , colorado#55#d#fcc
k292fm#106.3#denver , colorado#99#d#fcc
k237cy#95.3#ft collins , colorado#10#d#fcc
k229ah#93.7#grand junction , colorado#10#d#fcc
k201hv#88.1#jansen , colorado#10#d#fcc
k220iy#91.9#lafayette , colorado#115#d#fcc
k220 gh#91.9#lake george , colorado#75#d#fcc
k207bi#89.3#lamar , colorado#250#d#fcc
k211eq#90.1#new castle , colorado#19#d#fcc
k204ex#88.7#paonia , colorado#62#d#fcc
k206bu#89.1#seibert , colorado#250#d#fcc
k215da#90.9#silver cliff , colorado#250#d#fcc
k218db#91.5#vilas , colorado#250#d#fcc
k207bk#89.3#walsh , colorado#250#d#fcc
k220de#91.9#windsor , colorado#10#d#fcc
k248as#97.5#woodland park , colorado#250#d#fcc
