position#club#played#points#wins#draws#losses#goals for#goals against#goal difference
1#ca osasuna#30#42#17#8#5#76#33#+ 43
2#real oviedo#30#41#18#5#7#78#33#+ 45
3#real zaragoza#30#40#18#4#8#57#27#+ 30
4#caudal deportivo#30#34#13#8#9#49#37#+ 12
5#cd sabadell cf#30#33#13#7#10#50#44#+ 6
6#club ferrol#30#32#11#10#9#44#47#- 3
7#real gijón cf#30#32#14#4#12#51#46#+ 5
8#sd indauchu#30#30#12#6#12#53#50#+ 3
9#cd tarrasa#30#28#10#8#12#46#59#- 13
10#baracaldo ah#30#28#10#8#12#45#54#- 9
11#real santander#30#28#12#4#14#47#47#0
12#ud lérida#30#26#11#4#15#53#63#- 10
13#cp la felguera#30#26#10#6#14#35#57#- 22
14#sd eibar#30#25#9#7#14#40#55#- 15
15#club sestao#30#19#6#7#17#24#58#- 34
16#cd logroñés#30#16#4#8#18#38#76#- 38
