number#player#shoots#position#acquired#place of birth#joined from
7#mark garside#l#c#2010#east kilbride , scotland#edinburgh capitals , eihl
9#andrew fournier#l#lw#2012#amherstview , ontario , canada#olofströms ik , swedish 1st division
14#daymen rycroft#l#lw#2012#beaverlodge , alberta , canada#arizona sundogs , chl
15#scott champagne#l#lw#2012#cornwall , ontario , canada#ev ravensburg , 2.bundesliga
17#gregory stewart#l#lw#2012#kitchener , ontario , canada#south carolina stingrays , echl
24#noah clarke#l#lw#2012#la verne , california , usa#ehc münchen , del
39#gareth roberts#r#rw#2010#belfast , northern ireland#dundalk bulls , irish ice hockey league
47#adam keefe c#l#rw#2011#brampton , ontario , canada#grand rapids griffins , ahl
71#craig peacock a#l#lw#2009#peterborough , england#peterborough phantoms , epihl
72#darryl lloyd#l#c#2011#pickering , ontario , canada#kalamazoo wings , echl
74#matt towe#r#f#2012#sheffield , england#guildford flames , epihl
