week#date#opponent#location#time ( et )#result#record
1#sun sep 10#cleveland browns#three rivers stadium#4:00 pm#l 51 - 0#0 - 1
2#sun sep 17#cincinnati bengals#riverfront stadium#1:00 pm#l 41 - 10#0 - 2
3#sun sep 24#minnesota vikings#three rivers stadium#1:00 pm#w 27 - 14#1 - 2
4#sun oct 1#detroit lions#pontiac silverdome#1:00 pm#w 23 - 3#2 - 2
5#sun oct 8#cincinnati bengals#three rivers stadium#1:00 pm#l 26 - 16#2 - 3
6#sun oct 15#cleveland browns#cleveland municipal stadium#4:00 pm#w 17 - 7#3 - 3
7#sun oct 22#houston oilers#astrodome#1:00 pm#l 27 - 0#3 - 4
8#sun oct 29#kansas city chiefs#three rivers stadium#1:00 pm#w 23 - 17#4 - 4
9#sun nov 5#denver broncos#mile high stadium#4:00 pm#l 34 - 7#4 - 5
10#sun nov 12#chicago bears#three rivers stadium#1:00 pm#l 20 - 0#4 - 6
11#sun nov 19#san diego chargers#three rivers stadium#1:00 pm#w 20 - 17#5 - 6
12#sun nov 26#miami dolphins#joe robbie stadium#1:00 pm#w 34 - 14#6 - 6
13#sun dec 3#houston oilers#three rivers stadium#1:00 pm#l 23 - 16#6 - 7
14#sun dec 10#new york jets#giants stadium#1:00 pm#w 13 - 0#7 - 7
15#sun dec 17#new england patriots#three rivers stadium#1:00 pm#w 28 - 10#8 - 7
16#sun dec 24#tampa bay buccaneers#tampa stadium#1:00 pm#w 31 - 22#9 - 7
