date#opponent#site#result#attendance
september 23 , 1967#oklahoma state#war memorial stadium little rock , ar#l6 - 7#53000
september 30 , 1967#tulsa#razorback stadium fayetteville , ar#l12 - 14#40000
october 7 , 1967#tcu#razorback stadium fayetteville , ar#w26 - 0#40000
october 14 , 1967#baylor#baylor stadium waco , tx#t10 - 10#32000
october 21 , 1967#texas#war memorial stadium little rock , ar#l12 - 21#53000
october 28 , 1967#kansas state#war memorial stadium little rock , ar#w28 - 7#40000
november 4 , 1967#texas a&m#razorback stadium fayetteville , ar ( rivalry )#l21 - 33#41100
november 11 , 1967#rice#rice stadium houston , tx#w23 - 9#34000
november 18 , 1967#smu#ownby stadium dallas , tx#w35 - 17#25000
november 25 , 1967#texas tech#war memorial stadium little rock , ar#l27 - 31#40000
