school#city#state#enrollment#founded
belmont abbey college#belmont#north carolina#1320#1876
benedictine college#atchison#kansas#1855#1858
benedictine university#lisle#illinois#6857#1887
benedictine university at springfield#springfield#illinois#981#1929
college of saint benedict#st joseph#minnesota#2042#1913
college of saint scholastica#duluth#minnesota#3309#1912
conception seminary college#conception#missouri#108#1886
mount marty college#yankton#south dakota#1100#1936
saint anselm college#goffstown#new hampshire#2000#1889
saint gregory 's university#shawnee#oklahoma#800#1875
saint john 's university#collegeville#minnesota#1886#1857
saint joseph seminary college#covington#louisiana#171#1889
saint leo university#saint leo#florida#1628#1889
saint martin 's university#lacey#washington#1650#1895
saint vincent college#latrobe#pennsylvania#1848#1846
thomas more college (kentucky)#crestview hills#kentucky#1500#1921
university of mary#bismarck#north dakota#2900#1959
colegio san carlos#bogotã¡#colombia#1400#1960
