date#state#george hw bush#bob dole#pat robertson#jack kemp#pete du pont
january 14#michigan#57%#3%#22%#17%#0%
february 4#hawaii#9%#9%#82%#0%#0%
february 7#kansas#0%#99%#0%#0%#0%
february 8#iowa caucus#19%#37%#25%#11%#7%
february 16#new hampshire#38%#29%#9%#13%#10%
february 18#nevada#27%#22%#15%#13%#1%
february 23#minnesota#11%#43%#28%#15%#0%
february 23#south dakota#19%#55%#20%#5%#1%
february 24#wyoming#23%#46%#11%#7%#2%
february 28#maine#64%#8%#14%#2%#0%
march 1#alaska#24%#20%#49%#7%#0%
march 1#vermont#49%#39%#5%#4%#2%
march 5#south carolina#49%#21%#19%#11%#0%
march 8#alabama#65%#16%#14%#5%#0%
march 8#arkansas#47%#26%#19%#5%#1%
march 8#florida#62%#21%#11%#5%#1%
march 8#georgia#54%#24%#16%#6%#0%
march 8#kentucky#59%#23%#11%#3%#0%
march 8#louisiana#58%#18%#18%#5%#1%
march 8#maryland#53%#32%#6%#6%#1%
march 8#massachusetts#59%#26%#5%#7%#1%
march 8#mississippi#66%#17%#13%#3%#0%
march 8#missouri#42%#41%#11%#4%#0%
march 8#north carolina#45%#39%#10%#4%#0%
march 8#oklahoma#37%#36%#21%#5%#0%
march 8#rhode island#65%#23%#6%#5%#1%
march 8#tennessee#60%#22%#13%#4%#0%
march 8#texas#64%#14%#15%#5%#0%
march 8#virginia#53%#26%#14%#5%#1%
march 8#washington#24%#26%#39%#8%#0%
march 15#illinois#55%#36%#7%#1%#1%
march 29#connecticut#71%#20%#3%#3%#0%
april 4#colorado#76%#0%#10%#0%#0%
april 5#wisconsin#82%#8%#7%#1%#0%
april 26#pennsylvania#79%#12%#9%#0%#0%
may 3#district of columbia#88%#7%#4%#0%#0%
may 3#indiana#80%#10%#7%#3%#0%
may 3#ohio#81%#12%#7%#0%#0%
may 10#nebraska#68%#22%#5%#4%#0%
may 10#west virginia#77%#11%#7%#3%#0%
may 17#oregon#73%#18%#8%#0%#0%
may 24#idaho#81%#0%#9%#0%#0%
june 7#california#83%#13%#4%#0%#0%
june 7#montana#73%#19%#0%#0%#0%
june 7#new jersey#100%#0%#0%#0%#0%
june 7#new mexico#78%#10%#6%#0%#0%
june 14#north dakota#93%#0%#0%#0%#0%
