game#october#opponent#score#location / attendance#record#points
1#7#pittsburgh penguins#3 - 2#consol energy center (18289)#1 - 0 - 0#2
2#9#st louis blues#1 - 2 (ot)#scottrade center (19150)#1 - 0 - 1#3
3#11#colorado avalanche#4 - 2#wells fargo center (19652)#2 - 0 - 1#5
4#14#tampa bay lightning#2 - 3#wells fargo center (19592)#2 - 1 - 1#5
5#16#pittsburgh penguins#1 - 5#wells fargo center (19684)#2 - 2 - 1#5
6#21#anaheim ducks#2 - 3#wells fargo center (19012)#2 - 3 - 1#5
7#23#toronto maple leafs#5 - 2#wells fargo center (19382)#3 - 3 - 1#7
8#25#columbus blue jackets#1 - 2#nationwide arena (11727)#3 - 4 - 1#7
9#26#buffalo sabres#6 - 3#wells fargo center (19361)#4 - 4 - 1#9
10#29#pittsburgh penguins#3 - 2#consol energy center (18275)#5 - 4 - 1#11
