name#position#league apps#league goals#fa cup apps#fa cup goals#league cup apps#league cup goals#total apps#total goals
terry austin#fw#3#0#0#0#1#0#4#0
malcolm brown#df#46#9#4#1#6#1#56#11
david burke#df#44#1#4#0#5#0#53#1
david cowling#mf#41#7#4#0#5#1#56#8
brian cox#gk#45#0#4#0#6#0#55#0
maurice cox#mf#3 (1)#1#0#0#1#0#4 (1)#1
steve doyle#mf#41 (1)#2#4#0#5#0#50 (1)#2
roy greenwood#df#4#0#0 (1)#0#2#0#6 (1)#0
keith hanvey#df#43#4#3#0#5#0#51#4
timothy hotte#fw#1 (1)#0#0#0#0#0#1 (1)#0
mick laverick#mf#2#0#0#0#0#0#2#0
mark lillis#mf#46#20#4#0#6#0#56#20
keith mason#gk#1#0#0#0#0#0#1#0
daral pugh#mf#9 (18)#2#0 (1)#0#0#0#9 (19)#2
colin russell#fw#41#16#4#0#4#1#49#17
brian stanton#mf#40 (4)#13#4#2#6#2#50 (4)#17
kevin stonehouse#fw#5#0#0#0#0#0#5#0
dave sutton#df#41#2#4#0#6#0#51#2
peter valentine#df#5#0#1#0#2#0#8#0
phil wilson#mf#45#6#4#0#6#0#55#6
